TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2014;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
PAL AIRLINES;10.389;7.774;6.003;8.221;7.606;810;5.492;428;0;0;0;0;46.723;
AEROVIAS D.A.P.   ;7.511;5.951;4.587;3.362;3.450;7.070;6.253;8.869;9.190;7.716;7.181;7.057;78.197;
LAN AIRLINES         ;260.027;265.230;208.206;189.365;196.491;179.146;262.257;237.686;234.040;219.055;222.246;210.703;2.684.452;
LAN EXPRESS       ;459.305;438.262;395.148;358.345;344.597;325.910;371.313;343.890;331.897;413.856;427.863;407.409;4.617.795;
ONE SPA           ;0;0;0;951;1.248;921;3.458;401;1.332;1.889;2.396;1.850;14.446;
SKY AIRLINE       ;215.566;201.358;188.380;182.022;178.119;174.443;208.851;192.778;183.765;196.163;194.256;205.732;2.321.433;
XTRA AIRWAYS      ;13.300;8.971;8.214;8.142;9.455;2.462;0;0;0;0;0;0;50.544;
TOTAL GENERAL;966.098;927.546;810.538;750.408;740.966;690.762;857.624;784.052;760.224;838.679;853.942;832.751;9.813.590;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2014;;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
PAL AIRLINES;42.043;29.386;117.815;54.383;17.637;0;0;0;0;0;0;0;261.264;
LAN CARGO            ;0;0;110.997;50.675;0;0;0;0;0;0;0;0;161.672;
LAN AIRLINES         ;924.872;815.013;841.791;809.771;952.480;860.310;874.773;962.584;813.435;865.125;869.423;973.372;10.562.949;
LAN EXPRESS       ;868.656;788.190;1.076.943;1.124.910;1.167.406;1.209.528;1.162.562;1.254.476;930.198;1.216.013;1.165.925;1.314.390;13.279.197;
SKY AIRLINE       ;138.195;149.498;139.739;184.530;211.718;192.710;177.318;225.047;228.424;297.744;275.024;256.156;2.476.103;
TOTAL GENERAL;1.973.766;1.782.087;2.287.285;2.224.269;2.349.241;2.262.548;2.214.653;2.442.107;1.972.057;2.378.882;2.310.372;2.543.918;26.741.185;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2014;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
PAL AIRLINES;13.723;10.818;8.184;10.890;9.980;1.050;6.674;531;0;0;0;0;61.853;
AEROVIAS D.A.P.   ;6.189;4.305;2.339;1.198;1.392;5.472;4.579;7.389;7.697;5.841;4.853;4.538;55.793;
LAN AIRLINES         ;357.834;370.691;291.032;256.872;264.651;237.317;342.411;303.852;300.644;303.294;309.353;298.870;3.636.828;
LAN EXPRESS       ;459.494;442.165;384.104;346.712;328.306;304.920;361.843;327.692;323.326;392.991;409.584;399.432;4.480.563;
ONE SPA           ;0;0;0;1.212;1.406;1.244;4.399;499;1.623;2.411;2.087;2.247;17.129;
SKY AIRLINE       ;201.740;189.189;173.200;163.348;161.137;158.962;192.361;177.818;171.267;179.921;184.396;200.068;2.153.409;
XTRA AIRWAYS      ;16.913;11.379;10.712;10.747;12.302;3.263;0;0;0;0;0;0;65.317;
TOTAL GENERAL;1.055.893;1.028.547;869.571;790.979;779.174;712.228;912.267;817.781;804.557;884.458;910.273;905.155;10.470.892;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2014;;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
PAL AIRLINES;51;36;142;65;22;0;0;0;0;0;0;0;313;
LAN CARGO            ;0;0;159;72;0;0;0;0;0;0;0;0;231;
LAN AIRLINES         ;2.306;2.035;2.212;2.101;2.390;2.119;2.084;2.377;2.067;2.161;2.147;2.323;26.331;
LAN EXPRESS       ;1.094;1.015;1.393;1.484;1.527;1.611;1.517;1.690;1.261;1.596;1.537;1.739;17.470;
SKY AIRLINE       ;194;217;203;268;300;265;244;310;330;433;393;371;3.534;
TOTAL GENERAL;3.645;3.303;4.109;3.990;4.239;3.995;3.845;4.377;3.658;4.190;4.077;4.433;47.879;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
