TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;0;0;0;0;48;1;0;57;0;1;0;0;107
LAN AIRLINES         ;184.921;181.755;182.511;159.039;167.333;162.694;175.966;177.775;170.002;182.967;179.442;183.908;2.108.313
LAN EXPRESS       ;208;0;0;0;0;0;0;0;0;0;0;0;208
ONE SPA           ;0;0;0;0;0;0;0;0;47;0;0;0;47
SKY AIRLINE       ;26.995;29.668;19.190;14.058;13.349;15.042;25.520;20.257;19.740;21.276;20.783;22.180;248.058
CHILENAS          ;212.124;211.423;201.701;173.097;180.730;177.737;201.486;198.089;189.789;204.244;200.225;206.088;2.356.733
AEROL. ARGENTINAS ;332;2.951;625;678;1.762;4.042;2.162;1.007;525;1.151;1.228;1.595;18.058
AUSTRAL           ;12.102;7.781;11.031;11.031;9.386;8.124;11.029;11.256;10.889;11.367;11.262;11.368;126.626
LAN ARGENTINA     ;0;52;134;138;144;824;221;136;310;169;158;120;2.406
LAN PERU          ;10.650;11.224;11.187;9.378;8.654;9.364;7.747;8.742;9.288;12.538;12.646;10.182;121.600
AMASZONAS S.A.    ;0;1.112;927;686;706;678;1.023;873;777;643;742;861;9.028
GOL TRANS         ;7.208;7.771;6.514;6.321;6.220;7.996;15.601;10.999;7.320;6.803;6.780;9.273;98.806
T.A.M. LINEAS AEREAS;20.870;21.599;21.303;16.910;16.423;17.438;30.801;27.922;24.683;26.232;21.972;24.932;271.085
T.A.M.            ;2.725;2.282;1.302;1.147;1.154;1.690;2.598;2.341;1.581;1.974;1.422;1.960;22.176
LAN ECUADOR       ;4.299;4.260;4.383;3.715;3.507;3.752;4.032;4.265;4.486;4.780;4.810;4.396;50.685
AVIANCA           ;2.332;7.965;10.402;8.081;10.240;9.926;8.684;10.272;10.022;11.699;11.006;10.655;111.284
L.A.C.S.A.        ;2.087;6.825;5.384;5.147;5.020;4.420;4.530;5.510;4.974;5.407;5.124;5.167;59.595
C.O.P.A.          ;17.200;19.777;17.974;14.445;19.223;18.605;17.895;18.947;18.395;19.639;15.601;17.130;214.831
AEROMEXICO        ;3.360;4.807;4.384;3.305;4.468;3.551;3.314;3.426;2.796;3.145;2.404;3.352;42.312
LATINOAMERICANAS  ;83.165;98.406;95.550;80.982;86.907;90.410;109.637;105.696;96.046;105.547;95.155;100.991;1.148.492
AIR CANADA        ;7.919;6.142;5.399;3.184;3.353;3.226;4.446;4.560;4.404;5.270;7.771;7.412;63.086
AMERICAN AIRLINES ;14.972;15.365;14.877;8.768;10.823;9.538;10.951;10.832;10.691;11.522;11.656;15.578;145.573
DELTA AIRLINES    ;5.239;5.768;5.805;4.079;4.885;4.608;5.520;5.626;4.371;5.748;4.864;5.350;61.863
UNITED AIRLINES   ;4.558;5.226;5.082;3.580;3.893;4.158;4.592;4.754;4.341;5.331;4.816;5.335;55.666
NORTEAMERICANAS   ;32.688;32.501;31.163;19.611;22.954;21.530;25.509;25.772;23.807;27.871;29.107;33.675;326.188
AIR EUROPA        ;1.493;1.968;463;0;0;0;0;0;0;0;0;0;3.924
IBERIA            ;8.951;11.993;9.990;6.374;7.376;9.347;10.063;9.407;9.553;11.177;12.378;11.273;117.882
AIR FRANCE        ;9.683;9.236;9.145;6.461;6.865;8.989;9.449;8.767;9.183;10.014;9.674;9.427;106.893
K.L.M.            ;3.980;2.911;2.867;3.019;2.712;3.228;5.240;3.639;3.934;3.686;3.972;5.414;44.602
EUROPEAS          ;24.107;26.108;22.465;15.854;16.953;21.564;24.752;21.813;22.670;24.877;26.024;26.114;273.301
QANTAS AIRWAYS    ;5.540;5.045;5.287;5.272;5.302;4.900;5.174;5.341;5.346;5.365;5.551;6.509;64.632
PACIFICO SUR      ;5.540;5.045;5.287;5.272;5.302;4.900;5.174;5.341;5.346;5.365;5.551;6.509;64.632
TOTAL GENERAL;357.624;373.483;356.166;294.816;312.846;316.141;366.558;356.711;337.658;367.904;356.062;373.377;4.169.346
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS SALIDOS DESDE CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;4;0;0;0;48;0;0;55;0;0;0;0;107
LAN AIRLINES         ;200.776;179.305;169.890;168.059;170.712;156.868;180.202;178.283;170.666;181.834;178.939;187.884;2.123.418
LAN EXPRESS       ;0;0;114;0;0;0;0;0;0;0;0;0;114
ONE SPA           ;0;0;0;0;0;2;0;0;46;0;0;0;48
SKY AIRLINE       ;26.989;23.839;15.280;14.274;12.885;14.404;25.662;20.780;20.156;20.846;21.313;23.944;240.372
CHILENAS          ;227.769;203.144;185.284;182.333;183.645;171.274;205.864;199.118;190.868;202.680;200.252;211.828;2.364.059
AEROL. ARGENTINAS ;291;3.311;585;787;1.823;3.220;2.386;1.149;534;1.152;1.436;1.271;17.945
AUSTRAL           ;11.337;8.545;10.029;10.302;9.120;7.499;9.494;11.410;10.764;11.474;11.107;10.034;121.115
LAN ARGENTINA     ;0;158;122;116;100;786;136;133;149;162;144;61;2.067
LAN PERU          ;11.544;9.862;9.999;9.423;9.123;8.865;7.875;7.638;8.743;12.160;11.434;14.580;121.246
TACA-PERU         ;0;0;0;0;0;0;0;0;0;0;68;0;68
AMASZONAS S.A.    ;1.361;1.048;803;709;750;637;1.046;897;673;539;691;946;10.100
GOL TRANS         ;9.741;7.485;6.175;6.398;6.050;7.655;14.477;12.476;7.564;6.482;6.516;7.394;98.413
T.A.M. LINEAS AEREAS;23.646;21.348;19.047;17.129;17.180;16.458;28.311;26.303;23.113;22.624;20.218;21.829;257.206
T.A.M.            ;2.418;2.128;1.248;1.298;1.345;1.879;2.736;2.109;1.787;1.961;1.604;1.974;22.487
LAN ECUADOR       ;4.393;4.021;3.958;4.365;4.360;4.122;4.432;4.326;4.404;4.436;5.037;5.295;53.149
AVIANCA           ;7.078;6.627;7.343;8.569;10.363;8.478;10.143;9.137;8.960;10.231;9.673;11.430;108.032
L.A.C.S.A.        ;9.067;6.463;4.703;4.886;5.348;4.144;4.830;4.611;4.484;4.764;4.485;5.492;63.277
C.O.P.A.          ;19.253;16.915;13.125;15.119;18.892;15.886;18.155;15.108;15.525;15.756;13.949;17.640;195.323
