TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2016;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
AERODESIERTO      ;0;0;0;0;0;185;394;0;0;0;0;0;579;
AEROVIAS D.A.P.   ;9.689;10.488;8.004;6.647;6.452;6.471;6.174;5.372;5.668;5.436;6.206;9.785;86.392;
LATAM AIRLINES GROUP         ;272.018;285.210;226.175;208.894;213.097;193.423;241.482;215.944;214.955;227.605;245.156;234.508;2.778.467;
LATAM AIRLINES CHILE       ;492.338;465.250;427.533;404.859;399.532;361.037;451.834;410.353;397.230;454.647;488.311;448.728;5.201.652;
ONE SPA           ;3.334;2.746;2.938;2.412;2.455;1.546;0;0;0;586;867;1.416;18.300;
SKY AIRLINE       ;242.659;245.001;234.970;161.118;218.327;201.565;236.788;227.281;227.813;246.150;251.011;257.885;2.750.568;
TOTAL GENERAL;1.020.038;1.008.695;899.620;783.930;839.863;764.227;936.672;858.950;845.666;934.424;991.551;952.322;10.835.958;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2016;;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
LATAM CARGO            ;30.000;0;0;0;0;0;0;0;0;0;0;0;30.000;
LATAM AIRLINES GROUP         ;976.300;1.037.961;1.017.611;1.085.238;1.049.962;979.999;1.067.296;1.019.462;1.003.826;1.065.968;1.117.408;1.240.147;12.661.178;
LATAM AIRLINES CHILE       ;910.953;999.680;1.286.418;1.256.850;1.230.450;1.107.290;1.117.334;1.054.621;910.326;1.031.330;1.128.049;996.206;13.029.507;
SKY AIRLINE       ;245.266;227.190;244.053;244.819;348.656;332.145;383.471;437.486;406.603;342.562;376.778;378.662;3.967.691;
TOTAL GENERAL;2.162.519;2.264.831;2.548.082;2.586.907;2.629.068;2.419.434;2.568.101;2.511.569;2.320.755;2.439.860;2.622.235;2.615.015;29.688.376;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2016;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
AERODESIERTO      ;0;0;0;0;0;226;457;0;0;0;0;0;683;
AEROVIAS D.A.P.   ;7.918;8.680;5.035;4.008;3.936;4.057;3.607;2.758;2.674;2.650;2.937;8.096;56.351;
LATAM AIRLINES GROUP         ;389.807;415.990;320.756;296.839;295.466;272.817;346.318;303.631;309.762;328.506;363.549;356.666;4.000.104;
LATAM AIRLINES CHILE       ;510.741;481.913;436.036;395.568;384.470;343.548;446.798;394.117;382.013;460.448;499.250;473.228;5.208.136;
ONE SPA           ;3.996;3.240;3.477;2.844;2.879;1.800;0;0;0;718;1.062;1.735;21.751;
SKY AIRLINE       ;261.429;264.666;248.089;168.008;225.350;206.682;253.145;239.917;240.034;261.194;267.411;280.098;2.916.031;
TOTAL GENERAL;1.173.891;1.174.489;1.013.393;867.267;912.101;829.130;1.050.325;940.423;934.483;1.053.516;1.134.209;1.119.823;12.203.056;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2016;;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
LATAM CARGO            ;65;0;0;0;0;0;0;0;0;0;0;0;65;
LATAM AIRLINES GROUP         ;2.683;2.893;2.593;2.722;2.654;2.547;2.759;2.675;2.647;2.783;2.887;3.243;33.089;
LATAM AIRLINES CHILE       ;1.275;1.367;1.839;1.838;1.817;1.576;1.666;1.685;1.372;1.546;1.623;1.427;19.032;
SKY AIRLINE       ;367;341;369;378;536;512;592;698;640;536;574;584;6.136;
TOTAL GENERAL;4.390;4.601;4.801;4.938;5.007;4.635;5.017;5.058;4.659;4.865;5.084;5.254;58.322;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
