TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;712;734;88;91;79;0;0;0;0;0;0;0;1.704
CHILEJET S.A.     ;1.343;0;0;0;0;0;0;0;0;0;0;0;1.343
LATAM AIRLINES GROUP         ;200.451;187.748;206.415;173.299;182.708;0;0;0;0;0;0;0;950.621
LATAM AIRLINES CHILE       ;2.587;3.105;2.420;2.235;1.700;0;0;0;0;0;0;0;12.047
LATIN AMERICAN WINGS;4.172;6.702;8.308;8.565;8.902;0;0;0;0;0;0;0;36.649
ONE SPA           ;0;0;290;56;0;0;0;0;0;0;0;0;346
SKY AIRLINE       ;32.605;30.682;25.570;23.637;24.771;0;0;0;0;0;0;0;137.265
CHILENAS          ;241.870;228.971;243.091;207.883;218.160;0;0;0;0;0;0;0;1.139.975
AEROL. ARGENTINAS ;21.586;18.182;20.357;22.732;22.027;0;0;0;0;0;0;0;104.884
AUSTRAL           ;251;302;280;349;194;0;0;0;0;0;0;0;1.376
LATAM AIRLINES ARGENTINA     ;3.531;4.028;3.062;3.898;4.001;0;0;0;0;0;0;0;18.520
LATAM AIRLINES PERU          ;21.316;19.696;10.363;14.571;13.832;0;0;0;0;0;0;0;79.778
AMASZONAS S.A.    ;1.101;571;578;489;500;0;0;0;0;0;0;0;3.239
GOL TRANS         ;8.911;11.244;10.035;7.935;7.335;0;0;0;0;0;0;0;45.460
LATAM AIRLINES BRASIL;47.275;51.126;37.141;35.014;34.387;0;0;0;0;0;0;0;204.943
AMASZONAS PARAGUAY;452;413;483;420;712;0;0;0;0;0;0;0;2.480
LATAM AIRLINES PARAGUAY            ;1.745;1.552;1.660;2.118;2.037;0;0;0;0;0;0;0;9.112
LATAM AIRLINES ECUADOR       ;4.840;4.914;4.955;2.922;2.593;0;0;0;0;0;0;0;20.224
AVIANCA           ;14.258;13.237;14.125;12.006;14.188;0;0;0;0;0;0;0;67.814
