TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;712;734;88;91;79;0;0;0;0;0;0;0;1.704
CHILEJET S.A.     ;1.343;0;0;0;0;0;0;0;0;0;0;0;1.343
LATAM AIRLINES GROUP         ;200.451;187.748;206.415;173.299;182.708;173.612;0;0;0;0;0;0;1.124.233
LATAM AIRLINES CHILE       ;2.587;3.105;2.420;2.235;1.700;814;0;0;0;0;0;0;12.861
LATIN AMERICAN WINGS;4.172;6.702;8.308;8.565;8.902;9.591;0;0;0;0;0;0;46.240
ONE SPA           ;0;0;290;56;0;0;0;0;0;0;0;0;346
SKY AIRLINE       ;32.605;30.682;25.570;23.637;24.771;22.979;0;0;0;0;0;0;160.244
CHILENAS          ;241.870;228.971;243.091;207.883;218.160;206.996;0;0;0;0;0;0;1.346.971
AEROL. ARGENTINAS ;21.586;18.182;20.357;22.732;22.027;23.030;0;0;0;0;0;0;127.914
AUSTRAL           ;251;302;280;349;194;242;0;0;0;0;0;0;1.618
LATAM AIRLINES ARGENTINA     ;3.531;4.028;3.062;3.898;4.001;3.483;0;0;0;0;0;0;22.003
LATAM AIRLINES PERU          ;21.316;19.696;10.363;14.571;13.832;13.628;0;0;0;0;0;0;93.406
AMASZONAS S.A.    ;1.101;571;578;489;500;506;0;0;0;0;0;0;3.745
GOL TRANS         ;8.911;11.244;10.035;7.935;7.335;8.331;0;0;0;0;0;0;53.791
LATAM AIRLINES BRASIL;47.275;51.126;37.141;35.014;34.387;37.294;0;0;0;0;0;0;242.237
AMASZONAS PARAGUAY;452;413;483;420;712;743;0;0;0;0;0;0;3.223
LATAM AIRLINES PARAGUAY            ;1.745;1.552;1.660;2.118;2.037;2.181;0;0;0;0;0;0;11.293
LATAM AIRLINES ECUADOR       ;4.840;4.914;4.955;2.922;2.593;2.475;0;0;0;0;0;0;22.699
