TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
AEROVIAS D.A.P.   ;10.217;9.609;6.644;5.520;6.614;6.037;0;0;0;0;0;0;44.641;
AMASZONAS S.A.    ;0;0;723;5.286;5.275;3.674;0;0;0;0;0;0;14.958;
CHILEJET S.A.     ;267;0;0;0;0;0;0;0;0;0;0;0;267;
LATAM AIRLINES GROUP         ;289.138;290.301;234.696;222.849;225.880;206.558;0;0;0;0;0;0;1.469.422;
LATAM AIRLINES CHILE       ;479.416;444.983;410.296;369.237;369.595;327.175;0;0;0;0;0;0;2.400.702;
LATIN AMERICAN WINGS;1.040;1.586;4.301;6.202;9.471;14.098;0;0;0;0;0;0;36.698;
ONE SPA           ;323;0;990;1.141;2.976;1.703;0;0;0;0;0;0;7.133;
SKY AIRLINE       ;285.972;259.575;253.813;221.778;233.629;223.371;0;0;0;0;0;0;1.478.138;
TOTAL GENERAL;1.066.373;1.006.054;911.463;832.013;853.440;782.616;0;0;0;0;0;0;5.451.959;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
LATAM CARGO           ;0;0;0;67.251;0;0;0;0;0;0;0;0;67.251;
LATAM AIRLINES GROUP         ;1.196.974;1.036.357;1.159.086;1.082.864;1.106.468;1.140.141;0;0;0;0;0;0;6.721.890;
LATAM AIRLINES CHILE       ;834.802;847.878;1.109.358;916.549;938.590;935.520;0;0;0;0;0;0;5.582.697;
SKY AIRLINE       ;355.254;333.875;465.380;348.303;382.325;460.709;0;0;0;0;0;0;2.345.846;
TOTAL GENERAL;2.387.030;2.218.110;2.733.824;2.414.967;2.427.383;2.536.370;0;0;0;0;0;0;14.717.684;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
AEROVIAS D.A.P.   ;8.619;7.108;3.754;2.822;4.114;4.083;0;0;0;0;0;0;30.500;
AMASZONAS S.A.    ;0;0;293;2.129;2.171;1.504;0;0;0;0;0;0;6.096;
CHILEJET S.A.     ;327;0;0;0;0;0;0;0;0;0;0;0;327;
LATAM AIRLINES GROUP         ;419.161;432.133;354.211;328.801;322.831;298.723;0;0;0;0;0;0;2.155.858;
LATAM AIRLINES CHILE       ;500.727;466.639;417.187;369.462;357.220;307.982;0;0;0;0;0;0;2.419.217;
LATIN AMERICAN WINGS;1.129;1.943;2.156;2.661;5.328;9.378;0;0;0;0;0;0;22.593;
ONE SPA           ;396;0;1.213;1.515;3.825;2.264;0;0;0;0;0;0;9.212;
SKY AIRLINE       ;313.659;285.558;275.044;231.752;242.828;231.914;0;0;0;0;0;0;1.580.757;
TOTAL GENERAL;1.244.018;1.193.381;1.053.858;939.142;938.317;855.848;0;0;0;0;0;0;6.224.560;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
LATAM CARGO           ;0;0;0;62;0;0;0;0;0;0;0;0;62;
LATAM AIRLINES GROUP         ;3.169;2.846;3.076;2.856;2.861;2.818;0;0;0;0;0;0;17.627;
LATAM AIRLINES CHILE       ;1.191;1.206;1.654;1.373;1.381;1.377;0;0;0;0;0;0;8.185;
SKY AIRLINE       ;536;510;699;528;578;674;0;0;0;0;0;0;3.530;
TOTAL GENERAL;4.896;4.562;5.429;4.819;4.820;4.869;0;0;0;0;0;0;29.404;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
