anno;O;D;EXPO_20;EXPO_40;IMPO_20;IMPO_40;VACÍOS_20;VACÍOS_40;provincia;DESTINO_PROVINCIA;region;DESTINO_REGION
2013;1;1;0;0;0;0;0;0;Petorca;Petorca;Valparaíso;Valparaíso
2013;1;2;0;0;0;0;0;0;Petorca;San Felipe;Valparaíso;Valparaíso
2013;1;3;0;0;0;0;0;0;Petorca;Quillota;Valparaíso;Valparaíso
2013;1;4;0;0;0;0;0;0;Petorca;Los Andes;Valparaíso;Valparaíso
2013;1;5;0;0;0;0;0;0;Petorca;Valparaíso;Valparaíso;Valparaíso
2013;1;6;467,3;903,3;0;0;0;0;Petorca;Valparaíso;Valparaíso;Valparaíso
2013;1;7;61,5;118,8;0;0;0;0;Petorca;Valparaíso;Valparaíso;Valparaíso
2013;1;8;0;0;0;0;0;0;Petorca;San Antonio;Valparaíso;Valparaíso
2013;1;9;162,6;314,3;0;0;0;0;Petorca;San Antonio;Valparaíso;Valparaíso
2013;1;10;0;0;0;0;0;0;Petorca;San Antonio;Valparaíso;Valparaíso
2013;1;11;0;0;0;0;0;0;Petorca;San Antonio;Valparaíso;Valparaíso
2013;1;12;0;0;0;0;0;0;Petorca;Valparaíso;Valparaíso;Valparaíso
2013;1;13;0;0;0;0;0;0;Petorca;Cardenal Caro;Valparaíso;Libertador General Bernardo O'Higgins
2013;1;14;0;0;0;0;0;0;Petorca;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;1;15;0;0;0;0;0;0;Petorca;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;1;16;0;0;0;0;0;0;Petorca;Colchagua;Valparaíso;Libertador General Bernardo O'Higgins
2013;1;17;0;0;0;0;0;0;Petorca;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;1;18;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;19;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;20;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;21;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;22;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;23;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;24;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;25;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;26;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;27;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;28;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;29;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;30;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;31;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;32;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;33;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;34;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;35;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;36;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;37;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;38;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;39;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;40;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;41;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;42;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;43;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;44;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;45;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;46;0;0;0;0;0;0;Petorca;Santiago;Valparaíso;Santiago
2013;1;47;0;0;0;0;0;0;Petorca;Melipilla;Valparaíso;Santiago
