AÑO_FABRICACIÓN;VEHÍCULOS;SECTOR_PRODUCTIVO;anno
2016;2.191;Transporte de Carga;2016
2015;9.369;Transporte de Carga;2016
2014;11.755;Transporte de Carga;2016
2013;12.570;Transporte de Carga;2016
2012;16.193;Transporte de Carga;2016
2011;14.352;Transporte de Carga;2016
2010;11.062;Transporte de Carga;2016
2009;7.924;Transporte de Carga;2016
2008;12.734;Transporte de Carga;2016
2007;11.823;Transporte de Carga;2016
2006;11.552;Transporte de Carga;2016
2005;9.561;Transporte de Carga;2016
2004;6.937;Transporte de Carga;2016
2003;5.308;Transporte de Carga;2016
2002;5.084;Transporte de Carga;2016
2001;5.106;Transporte de Carga;2016
2000;5.491;Transporte de Carga;2016
1999;3.647;Transporte de Carga;2016
1998;8.473;Transporte de Carga;2016
1997;7.189;Transporte de Carga;2016
1996;7.862;Transporte de Carga;2016
1995;6.569;Transporte de Carga;2016
1994;5.047;Transporte de Carga;2016
1993;5.800;Transporte de Carga;2016
1992;5.137;Transporte de Carga;2016
1991;3.023;Transporte de Carga;2016
1990;3.305;Transporte de Carga;2016
1989;4.173;Transporte de Carga;2016
1988;3.652;Transporte de Carga;2016
1987;2.481;Transporte de Carga;2016
1986;1.726;Transporte de Carga;2016
1985;1.750;Transporte de Carga;2016
1984;1.542;Transporte de Carga;2016
1983;1.113;Transporte de Carga;2016
1982;1.534;Transporte de Carga;2016
1981;4.095;Transporte de Carga;2016
1980;3.515;Transporte de Carga;2016
1979;1.647;Transporte de Carga;2016
1978;1.117;Transporte de Carga;2016
1977;1.021;Transporte de Carga;2016
1976;624;Transporte de Carga;2016
1975;753;Transporte de Carga;2016
1974;1.588;Transporte de Carga;2016
1973;828;Transporte de Carga;2016
1972;1.373;Transporte de Carga;2016
1971;337;Transporte de Carga;2016
1970;668;Transporte de Carga;2016
1969;591;Transporte de Carga;2016
1968;911;Transporte de Carga;2016
1967;896;Transporte de Carga;2016
1966;757;Transporte de Carga;2016
1965;208;Transporte de Carga;2016
1964;86;Transporte de Carga;2016
1963;85;Transporte de Carga;2016
1962;327;Transporte de Carga;2016
1961;718;Transporte de Carga;2016
1960;707;Transporte de Carga;2016
1959;68;Transporte de Carga;2016
1958;76;Transporte de Carga;2016
1957;332;Transporte de Carga;2016
1956;347;Transporte de Carga;2016
1955;53;Transporte de Carga;2016
1954;65;Transporte de Carga;2016
1953;27;Transporte de Carga;2016
1952;27;Transporte de Carga;2016
1951;107;Transporte de Carga;2016
1950;24;Transporte de Carga;2016
1949;14;Transporte de Carga;2016
1948;17;Transporte de Carga;2016
1947;13;Transporte de Carga;2016
1946;22;Transporte de Carga;2016
1945;1;Transporte de Carga;2016
1943;1;Transporte de Carga;2016
1942;3;Transporte de Carga;2016
1941;3;Transporte de Carga;2016
1940;3;Transporte de Carga;2016
1939;3;Transporte de Carga;2016
1930;3;Transporte de Carga;2016
1923;1;Transporte de Carga;2016
1902;1;Transporte de Carga;2016
1900;1;Transporte de Carga;2016
1928;0;Transporte de Carga;2016
2016;1.123;Otros Sectores Productivos;2016
2015;5.019;Otros Sectores Productivos;2016
2014;5.135;Otros Sectores Productivos;2016
2013;5.662;Otros Sectores Productivos;2016
2012;7.808;Otros Sectores Productivos;2016
2011;5.890;Otros Sectores Productivos;2016
2010;3.862;Otros Sectores Productivos;2016
2009;3.205;Otros Sectores Productivos;2016
2008;4.086;Otros Sectores Productivos;2016
2007;3.577;Otros Sectores Productivos;2016
2006;2.990;Otros Sectores Productivos;2016
2005;2.092;Otros Sectores Productivos;2016
2004;1.404;Otros Sectores Productivos;2016
2003;936;Otros Sectores Productivos;2016
2002;825;Otros Sectores Productivos;2016
2001;829;Otros Sectores Productivos;2016
2000;968;Otros Sectores Productivos;2016
1999;594;Otros Sectores Productivos;2016
1998;1.612;Otros Sectores Productivos;2016
1997;1.289;Otros Sectores Productivos;2016
1996;1.219;Otros Sectores Productivos;2016
1995;962;Otros Sectores Productivos;2016
1994;783;Otros Sectores Productivos;2016
1993;722;Otros Sectores Productivos;2016
1992;611;Otros Sectores Productivos;2016
1991;378;Otros Sectores Productivos;2016
1990;442;Otros Sectores Productivos;2016
1989;467;Otros Sectores Productivos;2016
1988;397;Otros Sectores Productivos;2016
1987;292;Otros Sectores Productivos;2016
1986;166;Otros Sectores Productivos;2016
1985;167;Otros Sectores Productivos;2016
1984;179;Otros Sectores Productivos;2016
1983;101;Otros Sectores Productivos;2016
1982;148;Otros Sectores Productivos;2016
1981;349;Otros Sectores Productivos;2016
1980;295;Otros Sectores Productivos;2016
1979;138;Otros Sectores Productivos;2016
1978;137;Otros Sectores Productivos;2016
1977;96;Otros Sectores Productivos;2016
1976;54;Otros Sectores Productivos;2016
1975;61;Otros Sectores Productivos;2016
1974;206;Otros Sectores Productivos;2016
1973;45;Otros Sectores Productivos;2016
1972;113;Otros Sectores Productivos;2016
1971;26;Otros Sectores Productivos;2016
1970;55;Otros Sectores Productivos;2016
1969;48;Otros Sectores Productivos;2016
1968;59;Otros Sectores Productivos;2016
1967;51;Otros Sectores Productivos;2016
1966;45;Otros Sectores Productivos;2016
1965;26;Otros Sectores Productivos;2016
1964;14;Otros Sectores Productivos;2016
1963;10;Otros Sectores Productivos;2016
1962;20;Otros Sectores Productivos;2016
1961;55;Otros Sectores Productivos;2016
1960;48;Otros Sectores Productivos;2016
1959;9;Otros Sectores Productivos;2016
1958;4;Otros Sectores Productivos;2016
1957;22;Otros Sectores Productivos;2016
1956;24;Otros Sectores Productivos;2016
1955;3;Otros Sectores Productivos;2016
1954;5;Otros Sectores Productivos;2016
1953;1;Otros Sectores Productivos;2016
1952;2;Otros Sectores Productivos;2016
1951;8;Otros Sectores Productivos;2016
