REGIàN;PERIODO;ANO;ÖNDICE
Arica y Parinacota;Enero-Marzo;2015;107,9
Arica y Parinacota;Abril-Junio;2015;120,6
Arica y Parinacota;Julio-Septiembre;2015;137,2
Arica y Parinacota;Octubre-Diciembre;2015;127,5
Tarapac ;Enero-Marzo;2015;104,2
Tarapac ;Abril-Junio;2015;101,2
Tarapac ;Julio-Septiembre;2015;93,1
Tarapac ;Octubre-Diciembre;2015;111,5
Antofagasta;Enero-Marzo;2015;120,3
Antofagasta;Abril-Junio;2015;124,1
Antofagasta;Julio-Septiembre;2015;114,2
Antofagasta;Octubre-Diciembre;2015;120,3
Atacama;Enero-Marzo;2015;112,1
Atacama;Abril-Junio;2015;103,7
Atacama;Julio-Septiembre;2015;104,2
Atacama;Octubre-Diciembre;2015;121,7
Coquimbo;Enero-Marzo;2015;105,8
Coquimbo;Abril-Junio;2015;104,7
Coquimbo;Julio-Septiembre;2015;103,8
Coquimbo;Octubre-Diciembre;2015;112,2
Valpara¡so;Enero-Marzo;2015;111,7
Valpara¡so;Abril-Junio;2015;112,8
Valpara¡so;Julio-Septiembre;2015;108,0
Valpara¡so;Octubre-Diciembre;2015;110,3
Libertador General Bernardo O'Higgins;Enero-Marzo;2015;127,5
Libertador General Bernardo O'Higgins;Abril-Junio;2015;120,8
Libertador General Bernardo O'Higgins;Julio-Septiembre;2015;109,1
Libertador General Bernardo O'Higgins;Octubre-Diciembre;2015;112,3
Maule;Enero-Marzo;2015;115,2
Maule;Abril-Junio;2015;120,9
Maule;Julio-Septiembre;2015;102,9
Maule;Octubre-Diciembre;2015;111,3
B¡o-B¡o;Enero-Marzo;2015;111,5
B¡o-B¡o;Abril-Junio;2015;110,0
B¡o-B¡o;Julio-Septiembre;2015;110,4
B¡o-B¡o;Octubre-Diciembre;2015;114,7
Araucan¡a;Enero-Marzo;2015;123,3
Araucan¡a;Abril-Junio;2015;114,4
Araucan¡a;Julio-Septiembre;2015;112,2
Araucan¡a;Octubre-Diciembre;2015;116,9
Los R¡os;Enero-Marzo;2015;124,4
Los R¡os;Abril-Junio;2015;112,4
Los R¡os;Julio-Septiembre;2015;110,3
Los R¡os;Octubre-Diciembre;2015;114,0
Los Lagos;Enero-Marzo;2015;130,2
Los Lagos;Abril-Junio;2015;116,9
Los Lagos;Julio-Septiembre;2015;116,8
Los Lagos;Octubre-Diciembre;2015;132,5
Ais‚n del General Carlos Ib ¤ez del Campo;Enero-Marzo;2015;123,5
Ais‚n del General Carlos Ib ¤ez del Campo;Abril-Junio;2015;128,4
Ais‚n del General Carlos Ib ¤ez del Campo;Julio-Septiembre;2015;123,5
Ais‚n del General Carlos Ib ¤ez del Campo;Octubre-Diciembre;2015;128,7
Magallanes y de la Ant rtica Chilena;Enero-Marzo;2015;114,3
Magallanes y de la Ant rtica Chilena;Abril-Junio;2015;110,4
Magallanes y de la Ant rtica Chilena;Julio-Septiembre;2015;109,4
Magallanes y de la Ant rtica Chilena;Octubre-Diciembre;2015;120,3
Arica y Parinacota;Enero-Marzo;2016;103,4
Arica y Parinacota;Abril-Junio;2016;116,4
Arica y Parinacota;Julio-Septiembre;2016;131,6
Arica y Parinacota;Octubre-Diciembre;2016;127,8
Tarapac ;Enero-Marzo;2016;101,0
Tarapac ;Abril-Junio;2016;106,0
Tarapac ;Julio-Septiembre;2016;105,5
Tarapac ;Octubre-Diciembre;2016;106,5
Antofagasta;Enero-Marzo;2016;118,9
Antofagasta;Abril-Junio;2016;121,1
Antofagasta;Julio-Septiembre;2016;117,5
Antofagasta;Octubre-Diciembre;2016;122,7
Atacama;Enero-Marzo;2016;122,1
Atacama;Abril-Junio;2016;113,4
Atacama;Julio-Septiembre;2016;113,7
Atacama;Octubre-Diciembre;2016;122,8
Coquimbo;Enero-Marzo;2016;106,0
Coquimbo;Abril-Junio;2016;104,2
Coquimbo;Julio-Septiembre;2016;102,4
Coquimbo;Octubre-Diciembre;2016;108,0
Valpara¡so;Enero-Marzo;2016;115,9
Valpara¡so;Abril-Junio;2016;111,2
Valpara¡so;Julio-Septiembre;2016;109,6
Valpara¡so;Octubre-Diciembre;2016;110,3
Libertador General Bernardo O'Higgins;Enero-Marzo;2016;131,0
Libertador General Bernardo O'Higgins;Abril-Junio;2016;124,3
Libertador General Bernardo O'Higgins;Julio-Septiembre;2016;118,4
Libertador General Bernardo O'Higgins;Octubre-Diciembre;2016;119,1
Maule;Enero-Marzo;2016;124,0
Maule;Abril-Junio;2016;125,9
Maule;Julio-Septiembre;2016;108,1
Maule;Octubre-Diciembre;2016;104,4
B¡o-B¡o;Enero-Marzo;2016;116,5
B¡o-B¡o;Abril-Junio;2016;112,8
B¡o-B¡o;Julio-Septiembre;2016;110,1
B¡o-B¡o;Octubre-Diciembre;2016;112,4
Araucan¡a;Enero-Marzo;2016;131,7
Araucan¡a;Abril-Junio;2016;118,3
Araucan¡a;Julio-Septiembre;2016;116,8
Araucan¡a;Octubre-Diciembre;2016;119,1
Los R¡os;Enero-Marzo;2016;122,7
Los R¡os;Abril-Junio;2016;112,7
Los R¡os;Julio-Septiembre;2016;111,4
Los R¡os;Octubre-Diciembre;2016;119,5
Los Lagos;Enero-Marzo;2016;131,3
Los Lagos;Abril-Junio;2016;113,1
Los Lagos;Julio-Septiembre;2016;112,2
Los Lagos;Octubre-Diciembre;2016;124,8
Ais‚n del General Carlos Ib ¤ez del Campo;Enero-Marzo;2016;128,1
Ais‚n del General Carlos Ib ¤ez del Campo;Abril-Junio;2016;127,0
Ais‚n del General Carlos Ib ¤ez del Campo;Julio-Septiembre;2016;127,0
Ais‚n del General Carlos Ib ¤ez del Campo;Octubre-Diciembre;2016;126,9
Magallanes y de la Ant rtica Chilena;Enero-Marzo;2016;122,9
Magallanes y de la Ant rtica Chilena;Abril-Junio;2016;122,9
Magallanes y de la Ant rtica Chilena;Julio-Septiembre;2016;126,3
Magallanes y de la Ant rtica Chilena;Octubre-Diciembre;2016;128,5
