5.3.1.- Número de contenedores llenos movilizados por empresa portuaria, Año 2016;;;;;;;
;;;;;;;
EMPRESA PORTUARIA;TAMAÑO (PIES);EMBARCO;DESEMBARCO;TOTAL;;;
Arica;20; 19.292 ; 33.747 ;53.039;;;
;40; 6.894 ; 39.765 ;46.659;;;
Iquique Terminal Internacional;20; 10.037 ; 11.411 ;21.448;;;
;40; 9.510 ; 61.058 ;70.568;;;
Complejo Portuario Mejillones;20; 44.526 ; 11.766 ;56.292;;;
;40; 19.366 ; 11.042 ;30.408;;;
Antofagasta;20; 23.504 ; 16.349 ;39.853;;;
;40; 8.158 ; 5.380 ;13.538;;;
Terminal Puerto Coquimbo;20; -   ; 1 ;1;;;
;40; 382 ; 25 ;407;;;
Terminal Cerros de Valparaíso S.A.;20; 541 ; 424 ;965;;;
;40; 2.672 ; 554 ;3.226;;;
Terminal Pacífico Sur;20; 50.911 ; 92.014 ;142.925;;;
;40; 114.370 ; 127.235 ;241.605;;;
San Antonio Terminal Internacional;20; 68.893 ; 117.261 ;186.154;;;
;40; 122.504 ; 202.089 ;324.593;;;
Puerto Central S.A.;20; 2.758 ; 1.772 ;4.530;;;
;40; 8.194 ; 8.981 ;17.175;;;
Lirquén;20; 9.696 ; 3.348 ;13.044;;;
;40; 61.222 ; 4.155 ;65.377;;;
Talcahuano Terminal Internacional;20; 13 ; -   ;13;;;
;40; -   ; -   ;0;;;
San Vicente Terminal internacional;20; 13.531 ; 10.190 ;23.721;;;
;40; 109.367 ; 10.294 ;119.661;;;
Coronel;20; 16.761 ; 6.745 ;23.506;;;
;40; 96.959 ; 8.051 ;105.010;;;
Chacabuco;20; 541 ; 187 ;728;;;
;40; 457 ; 380 ;837;;;
Austral;20; 458 ; 3.250 ;3.708;;;
;40; 2.491 ; 4.172 ;6.663;;;
SUBTOTAL;20;261.462;308.465;569.914;;;
;40;562.546;483.181;1.045.727;;;
         TOTAL;;824.008;791.646;1.615.654;;;
;;;;;;;
Fuente: Empresas Portuarias;;;;;;;
