2.1.- Exportación;;;;;;;;;;;;;
2.1.1.- Tonelaje movilizado en exportación por puertos según tipo de carga;;;;;;;;;;;;;
Año 2016;;;;;;;;;;;;;
(Cantidad en toneladas métricas);;;;;;;;;;;;;
;;;;;;;;;;;;;
;PUERTOS;EXPORTACIÓN;;;;TOTAL;;;;;;;
;;GENERAL;GRANEL;LÍQUIDO;FRIGORIZADO;;;;;;;;
     ;Arica; 148.568 ; - ; 497 ; 3.318 ; 152.382 ;;;;;;;
;(a) Iquique; 294.368 ; 40.979 ; - ; 813 ; 336.160 ;;;;;;;
;Patillos; 3 ; 4.297.899 ; - ; - ; 4.297.902 ;;;;;;;
;Punta Patache; 5 ; 3.243.062 ; - ; - ; 3.243.067 ;;;;;;;
;Tocopilla; 368.991 ; 1.784.919 ; - ; - ; 2.153.910 ;;;;;;;
;Michilla Cove; 4 ; 828.106 ; - ; - ; 828.111 ;;;;;;;
;Mejillones; 179 ; - ; 21 ; - ; 200 ;;;;;;;
;Puerto Angamos; 2.166.198 ; 173.338 ; 572 ; 1.304 ; 2.341.412 ;;;;;;;
;Antofagasta; 942.463 ; 634.062 ; 536 ; 811 ; 1.577.873 ;;;;;;;
;Caleta Coloso; 28 ; 2.336.914 ; - ; - ; 2.336.942 ;;;;;;;
;Chañaral/Barquito; 10.421 ; 180.925 ; - ; - ; 191.347 ;;;;;;;
;Caldera/Calderilla; 197 ; 6.774.551 ; - ; 47.055 ; 6.821.803 ;;;;;;;
;Huasco/Guacolda; 140 ; 7.736.328 ; 24 ; 16.250 ; 7.752.743 ;;;;;;;
;Coquimbo; 204 ; 720.910 ; 115 ; 22.337 ; 743.566 ;;;;;;;
;Guayacán; 5 ; 1.559.677 ; - ; - ; 1.559.682 ;;;;;;;
;Punta Chungo; 1 ; 1.259.110 ; - ; - ; 1.259.111 ;;;;;;;
;Ventanas; 231 ; 1.632.777 ; 12.329 ; - ; 1.645.337 ;;;;;;;
;Quintero; 480 ; - ; 149.892 ; - ; 150.372 ;;;;;;;
;Valparaíso; 1.587.632 ; - ; 122.872 ; 1.678.124 ; 3.388.628 ;;;;;;;
;San Antonio; 2.163.268 ; 180.113 ; 87.299 ; 1.266.548 ; 3.697.228 ;;;;;;;
;Penco; 11 ; 6.211 ; - ; - ; 6.222 ;;;;;;;
;Lirquén; 3.540.707 ; - ; 6.097 ; 246.019 ; 3.792.824 ;;;;;;;
;Talcahuano; 3.905 ; - ; 33.130 ; 7.659 ; 44.694 ;;;;;;;
;San Vicente; 2.455.832 ; 1.276.297 ; 217.020 ; 327.786 ; 4.276.935 ;;;;;;;
;Coronel; 2.977.596 ; 2.229.439 ; 21.756 ; 212.326 ; 5.441.117 ;;;;;;;
;Corral; 54 ; 939.126 ; - ; - ; 939.181 ;;;;;;;
;Puerto Montt; 11.749 ; - ; 1.008 ; - ; 12.757 ;;;;;;;
;San José de Calbuco; 56 ; 785.521 ; - ; - ; 785.577 ;;;;;;;
;Chacabuco; 1.307 ; 72.559 ; - ; - ; 73.866 ;;;;;;;
;Otway-Isla Riesco; - ; 870.242 ; - ; - ; 870.242 ;;;;;;;
;(a) Punta Arenas; 1.720 ; - ; 16.836 ; 186 ; 18.742 ;;;;;;;
;Cabo Negro; 1 ; - ; 421.157 ; - ; 421.158 ;;;;;;;
;Puerto Williams; - ; - ; 4.347 ; - ; 4.347 ;;;;;;;
;Venta de Naves; 21.087 ; - ; - ; - ; 21.087 ;;;;;;;
;Otros Puertos; 0 ; - ; - ; - ; 0 ;;;;;;;
;TOTAL; 16.697.412 ; 39.563.067 ; 1.095.508 ; 3.830.537 ; 61.186.524 ;;;;;;;
;(a) Valores indicados no consideran mercancias movilizadas por zona franca;;;;;;;;;;;;
;Fuente: Servicio Nacional de Aduanas;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
