5.2.2.- Tonelaje movilizado en contenedores vacíos por tipo de tráfico en empresa portuaria, Año 2016;;;;;;;;;;;;;;;;;;;;;;
(Cantidad en toneladas métricas);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
EMPRESA PORTUARIA;TAMAÑO (PIES);EXPORTACIÓN;IMPORTACIÓN;CABOTAJE;TRÁNSITO Y OTROS;TOTAL;;;;;;;;;;;;;;;;
Arica;20; 136.799 ; 19.415 ; - ; 992.333 ; 1.148.547 ;;;;;;;;;;;;;;;;
;40; 29.883 ; 51.298 ; 5.588 ; 827.029 ; 913.798 ;;;;;;;;;;;;;;;;
Iquique Terminal Internacional;20; 220.944 ; 156.333 ; - ; 45.365 ; 422.642 ;;;;;;;;;;;;;;;;
;40; 218.818 ; 817.708 ; 7.902 ; 105.852 ; 1.150.280 ;;;;;;;;;;;;;;;;
Complejo Portuario Mejillones;20; 333.058 ; 266.984 ; - ; 19.716 ; 619.758 ;;;;;;;;;;;;;;;;
;40; 169.396 ; 210.773 ; - ; 31.023 ; 411.192 ;;;;;;;;;;;;;;;;
Antofagasta;20; 645.239 ; 204.606 ; - ; 642 ; 850.487 ;;;;;;;;;;;;;;;;
;40; 226.705 ; 68.202 ; - ; 227 ; 295.134 ;;;;;;;;;;;;;;;;
Terminal Puerto Coquimbo;20; - ; 6 ; - ; - ; 6 ;;;;;;;;;;;;;;;;
;40; 8.645 ; - ; - ; 812 ; 9.457 ;;;;;;;;;;;;;;;;
Terminal Cerros de Valparaíso S.A.;20; 3.324 ; 4.131 ; 3.908 ; 2.065 ; 13.428 ;;;;;;;;;;;;;;;;
;40; 55.122 ; 10.252 ; 3.485 ; 1.138 ; 69.998 ;;;;;;;;;;;;;;;;
Valparaíso Terminal Pacífico Sur;20; 961.424 ; 1.390.147 ; 584 ; 23.456 ; 2.375.611 ;;;;;;;;;;;;;;;;
;40; 2.315.176 ; 1.704.451 ; 1.967 ; 36.939 ; 4.058.533 ;;;;;;;;;;;;;;;;
San Antonio Terminal Internacional;20; 1.419.104 ; 2.275.659 ; 87.063 ; 177.706 ; 3.959.532 ;;;;;;;;;;;;;;;;
;40; 2.746.968 ; 3.762.222 ; 160.260 ; 390.799 ; 7.060.249 ;;;;;;;;;;;;;;;;
Puerto Central S.A.;20; 56.529 ; 36.074 ; - ; 992 ; 93.595 ;;;;;;;;;;;;;;;;
;40; 197.488 ; 217.055 ; - ; 13.560 ; 428.103 ;;;;;;;;;;;;;;;;
Lirquén;20; 234.048 ; 61.396 ; 14.036 ; 4.886 ; 314.366 ;;;;;;;;;;;;;;;;
;40; 1.715.930 ; 78.679 ; 21.631 ; - ; 1.816.240 ;;;;;;;;;;;;;;;;
Talcahuano Terminal Internacional;20; - ; - ; 331 ; - ; 331 ;;;;;;;;;;;;;;;;
;40; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;
San Vicente Terminal Internacional;20; 315.853 ; 215.370 ; 1.114 ; 54.142 ; 586.479 ;;;;;;;;;;;;;;;;
;40; 2.948.191 ; 193.804 ; 5.295 ; 107.667 ; 3.254.957 ;;;;;;;;;;;;;;;;
Coronel;20; 499.049 ; 235.569 ; - ; - ; 734.618 ;;;;;;;;;;;;;;;;
;40; 2.679.146 ; 275.449 ; - ; - ; 2.954.595 ;;;;;;;;;;;;;;;;
Chacabuco;20; 13.925 ; 961 ; 3.144 ; - ; 18.030 ;;;;;;;;;;;;;;;;
;40; 13.542 ; 866 ; 7.308 ; - ; 21.716 ;;;;;;;;;;;;;;;;
Austral;20; 3.288 ; 38.121 ; 36.819 ; 1.107 ; 79.335 ;;;;;;;;;;;;;;;;
;40; 45.002 ; 27.568 ; 73.871 ; 1.013 ; 147.454 ;;;;;;;;;;;;;;;;
SUBTOTAL;20; 4.842.584 ; 4.904.772 ; 146.999 ; 1.322.410 ; 11.216.765 ;;;;;;;;;;;;;;;;
;40; 13.370.012 ; 7.418.327 ; 287.307 ; 1.516.059 ; 22.591.706 ;;;;;;;;;;;;;;;;
TOTAL;; 18.212.597 ; 12.323.099 ; 434.306 ; 2.838.469 ; 33.808.471 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Fuente: Empresas Portuarias;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
