anno;periodo;Mineras;Agropecuariassilvícolasypesqueras;Industriales
2003;Enero;626;236;877
2003;Febrero;627;233;738
2003;Marzo;620;358;879
2003;Abril;606;380;818
2003;Mayo;748;194;936
2003;Junio;678;123;824
2003;Julio;654;102;987
2003;Agosto;798;83;879
2003;Septiembre;723;83;873
2003;Octubre;859;74;984
2003;Noviembre;880;68;951
2003;Diciembre;972;210;970
2004;Enero;1,055;242;998
2004;Febrero;1,348;301;933
2004;Marzo.;1,27;442;1,097
2004;Abril;1,377;405;1,021
2004;Mayo;1,332;216;1,131
2004;Junio;1,268;129;1,094
2004;Julio;1,464;105;1,267
2004;Agosto;1,481;93;1,229
2004;Septiembre;1,466;77;1,245
2004;Octubre;1,548;72;1,149
2004;Noviembre;1,54;71;1,356
2004;Diciembre;1,57;261;1,372
2005;Enero;1,314;302;1,289
2005;Febrero;1,44;312;1,132
2005;Marzo.;1,747;444;1,45
2005;Abril;1,616;445;1,433
2005;Mayo;1,588;228;1,467
2005;Junio;1,867;134;1,479
2005;Julio;1,837;117;1,484
2005;Agosto;1,702;112;1,537
2005;Septiembre;1,997;90;1,399
2005;Octubre;1,794;75;1,621
2005;Noviembre;2,392;80;1,618
2005;Diciembre;2,702;222;1,506
2006;Enero;2,277;291;1,505
2006;Febrero;2,674;296;1,321
2006;Marzo;3,498;479;1,667
2006;Abril;3,372;463;1,429
2006;Mayo;2,562;308;1,839
2006;Junio;4,218;180;1,628
2006;Julio;2,961;134;1,895
2006;Agosto;3,212;125;1,797
2006;Septiembre;3,128;87;1,727
2006;Octubre;2,605;85;1,702
2006;Noviembre;2,124;85;1,903
2006;Diciembre;3,826;276;1,701
2007;Enero;3,146;401;1,86
2007;Febrero;3,269;339;1,575
2007;Marzo;3,757;503;1,781
2007;Abril;3,914;560;1,745
2007;Mayo;4,035;365;1,993
2007;Junio;3,814;238;1,887
2007;Julio;3,197;169;2,101
2007;Agosto;3,353;169;2,053
2007;Septiembre;3,446;120;1,725
2007;Octubre;3,546;104;2,153
2007;Noviembre;3,26;83;2,069
2007;Diciembre;3,707;236;1,887
2008;Enero;3,639;482;2,143
2008;Febrero;3,75;409;1,961
2008;Marzo;4,291;540;1,94
2008;Abril;3,394;730;2,166
2008;Mayo;3,358;494;2,346
2008;Junio;3,408;286;2,138
2008;Julio;2,927;263;2,656
2008;Agosto;2,44;204;2,397
2008;Septiembre;1,967;145;2,284
2008;Octubre;1,709;125;2,283
2008;Noviembre;1,324;93;1,976
2008;Diciembre;2,085;294;1,862
2009;Enero;1,529;404;1,719
2009;Febrero;1,634;401;1,401
2009;Marzo;2,07;664;1,565
2009;Abril;2,21;631;1,526
2009;Mayo;2,459;342;1,478
2009;Junio;2,568;219;1,66
2009;Julio;2,841;205;1,705
2009;Agosto;2,825;172;1,675
2009;Septiembre;2,524;155;1,725
2009;Octubre;3,791;114;1,839
2009;Noviembre;3,413;79;1,825
2009;Diciembre;4,015;282;1,799
2010;Enero;2,762;532;1,773
2010;Febrero;3,035;449;1,52
2010;Marzo;3,513;602;1,429
2010;Abril;3,13;719;1,512
2010;Mayo;3,351;531;1,792
2010;Junio;3,195;323;1,846
2010;Julio;3,706;258;2,042
2010;Agosto;3,976;213;2,133
2010;Septiembre;4,073;163;1,904
2010;Octubre;4,126;138;2,078
2010;Noviembre;4,301;121;2,101
2010;Diciembre;5,383;322;2,055
2011;Enero;3,802;628;2,06
2011;Febrero;3,645;492;1,867
2011;Marzo;4,739;700;2,281
2011;Abril;4,267;793;2,205
2011;Mayo;4,354;612;2,442
2011;Junio;4,265;350;2,082
2011;Julio;3,77;254;2,363
2011;Agosto;3,544;273;2,531
2011;Septiembre;3,924;204;2,412
2011;Octubre;4,182;144;2,354
2011;Noviembre;4,103;139;2,509
2011;Diciembre;4,489;380;2,28
2012;Enero;3,609;637;2,22
2012;Febrero;3,732;539;2,06
2012;Marzo;3,893;827;2,347
2012;Abril;3,596;817;2,155
2012;Mayo;3,571;494;2,356
2012;Junio;4,043;366;2,353
2012;Julio;3,5;294;2,139
2012;Agosto;3,218;254;2,308
2012;Septiembre;3,573;156;1,963
2012;Octubre;4,811;146;2,411
2012;Noviembre;4,085;132;2,33
2012;Diciembre;4,629;356;2,142
2013;Enero;3,722;728;2,371
2013;Febrero;3,239;503;1,835
2013;Marzo;3,038;711;2,44
2013;Abril;3,792;946;2,035
2013;Mayo;3,82;722;2,479
2013;Junio;3,602;464;2,283
2013;Julio;3,641;399;2,389
2013;Agosto;3,761;256;2,404
2013;Septiembre;3,638;183;2,02
2013;Octubre;4,161;190;2,637
2013;Noviembre;3,573;148;2,347
2013;Diciembre;3,714;398;2,183
2014;Enero;2,508;795;2,195
2014;Febrero;3,823;538;1,839
2014;Marzo;3,866;811;2,619
2014;Abril;3,409;886;2,375
2014;Mayo;3,659;604;2,645
2014;Junio;3,326;374;2,427
2014;Julio;3,405;344;2,512
2014;Agosto;3,132;230;2,506
2014;Septiembre;3,219;200;2,363
2014;Octubre;3,25;157;2,669
2014;Noviembre;3,066;148;2,377
2014;Diciembre;3,775;533;2,536
2015;Enero;3,003;788;2,163
2015;Febrero;2,684;563;1,876
2015;Marzo;3,009;731;2,267
2015;Abril;2,939;744;2,082
2015;Mayo;2,689;426;1,874
2015;Junio;3,003;394;1,891
2015;Julio;2,347;341;2,257
2015;Agosto;2,411;229;2,021
2015;Septiembre;2,418;212;2,016
2015;Octubre;2,427;170;2,121
2015;Noviembre;2,667;169;1,995
2015;Diciembre;2,873;443;1,936
2016;Enero;2,188;945;1,958
2016;Febrero;2,526;601;1,677
2016;Marzo;2,518;696;1,97
2016;Abril;2,37;723;1,97
2016;Mayo;2,483;569;2,025
2016;Junio;2,366;372;1,924
2016;Julio;2,404;316;1,929
2016;Agosto;2,456;289;2,201
2016;Septiembre;2,715;245;1,942
2016;Octubre;2,686;209;1,865
2016;Noviembre;2,886;233;2,097
2016;Diciembre;3,272;700;2,27
2017;Enero;2,723;750;2,143
2017;Febrero;2,275;546;1,858
2017;Marzo;2,613;717;2,17
2017;Abril;2,492;601;1,926
