"anno";"periodo";"Mineras";"Agropecuariassilvícolasypesqueras";"Industriales"
"2003";"Enero";"626";"236";"877"
"";"Febrero";"627";"233";"738"
"";"Marzo";"620";"358";"879"
"";"Abril";"606";"380";"818"
"";"Mayo";"748";"194";"936"
"";"Junio";"678";"123";"824"
"";"Julio";"654";"102";"987"
"";"Agosto";"798";"83";"879"
"";"Septiembre";"723";"83";"873"
"";"Octubre";"859";"74";"984"
"";"Noviembre";"880";"68";"951"
"";"Diciembre";"972";"210";"970"
"2004";"Enero";"1,055";"242";"998"
"";"Febrero";"1,348";"301";"933"
"";"Marzo.";"1,270";"442";"1,097"
"";"Abril";"1,377";"405";"1,021"
"";"Mayo";"1,332";"216";"1,131"
"";"Junio";"1,268";"129";"1,094"
"";"Julio";"1,464";"105";"1,267"
"";"Agosto";"1,481";"93";"1,229"
"";"Septiembre";"1,466";"77";"1,245"
"";"Octubre";"1,548";"72";"1,149"
"";"Noviembre";"1,540";"71";"1,356"
"";"Diciembre";"1,570";"261";"1,372"
"2005";"Enero";"1,314";"302";"1,289"
"";"Febrero";"1,440";"312";"1,132"
"";"Marzo.";"1,747";"444";"1,450"
"";"Abril";"1,616";"445";"1,433"
"";"Mayo";"1,588";"228";"1,467"
"";"Junio";"1,867";"134";"1,479"
"";"Julio";"1,837";"117";"1,484"
"";"Agosto";"1,702";"112";"1,537"
"";"Septiembre";"1,997";"90";"1,399"
"";"Octubre";"1,794";"75";"1,621"
"";"Noviembre";"2,392";"80";"1,618"
"";"Diciembre";"2,702";"222";"1,506"
"2006";"Enero";"2,277";"291";"1,505"
"";"Febrero";"2,674";"296";"1,321"
"";"Marzo";"3,498";"479";"1,667"
"";"Abril";"3,372";"463";"1,429"
"";"Mayo";"2,562";"308";"1,839"
"";"Junio";"4,218";"180";"1,628"
"";"Julio";"2,961";"134";"1,895"
"";"Agosto";"3,212";"125";"1,797"
"";"Septiembre";"3,128";"87";"1,727"
"";"Octubre";"2,605";"85";"1,702"
"";"Noviembre";"2,124";"85";"1,903"
"";"Diciembre";"3,826";"276";"1,701"
"2007";"Enero";"3,146";"401";"1,860"
"";"Febrero";"3,269";"339";"1,575"
"";"Marzo";"3,757";"503";"1,781"
"";"Abril";"3,914";"560";"1,745"
"";"Mayo";"4,035";"365";"1,993"
"";"Junio";"3,814";"238";"1,887"
"";"Julio";"3,197";"169";"2,101"
"";"Agosto";"3,353";"169";"2,053"
"";"Septiembre";"3,446";"120";"1,725"
"";"Octubre";"3,546";"104";"2,153"
"";"Noviembre";"3,260";"83";"2,069"
"";"Diciembre";"3,707";"236";"1,887"
"2008";"Enero";"3,639";"482";"2,143"
"";"Febrero";"3,750";"409";"1,961"
"";"Marzo";"4,291";"540";"1,940"
"";"Abril";"3,394";"730";"2,166"
"";"Mayo";"3,358";"494";"2,346"
"";"Junio";"3,408";"286";"2,138"
"";"Julio";"2,927";"263";"2,656"
"";"Agosto";"2,440";"204";"2,397"
"";"Septiembre";"1,967";"145";"2,284"
"";"Octubre";"1,709";"125";"2,283"
"";"Noviembre";"1,324";"93";"1,976"
"";"Diciembre";"2,085";"294";"1,862"
"2009";"Enero";"1,529";"404";"1,719"
"";"Febrero";"1,634";"401";"1,401"
"";"Marzo";"2,070";"664";"1,565"
"";"Abril";"2,210";"631";"1,526"
"";"Mayo";"2,459";"342";"1,478"
"";"Junio";"2,568";"219";"1,660"
"";"Julio";"2,841";"205";"1,705"
"";"Agosto";"2,825";"172";"1,675"
"";"Septiembre";"2,524";"155";"1,725"
"";"Octubre";"3,791";"114";"1,839"
"";"Noviembre";"3,413";"79";"1,825"
"";"Diciembre";"4,015";"282";"1,799"
"2010";"Enero";"2,762";"532";"1,773"
"";"Febrero";"3,035";"449";"1,520"
"";"Marzo";"3,513";"602";"1,429"
"";"Abril";"3,130";"719";"1,512"
"";"Mayo";"3,351";"531";"1,792"
"";"Junio";"3,195";"323";"1,846"
"";"Julio";"3,706";"258";"2,042"
"";"Agosto";"3,976";"213";"2,133"
"";"Septiembre";"4,073";"163";"1,904"
"";"Octubre";"4,126";"138";"2,078"
"";"Noviembre";"4,301";"121";"2,101"
"";"Diciembre";"5,383";"322";"2,055"
"2011";"Enero";"3,802";"628";"2,060"
"";"Febrero";"3,645";"492";"1,867"
"";"Marzo";"4,739";"700";"2,281"
"";"Abril";"4,267";"793";"2,205"
"";"Mayo";"4,354";"612";"2,442"
"";"Junio";"4,265";"350";"2,082"
"";"Julio";"3,770";"254";"2,363"
"";"Agosto";"3,544";"273";"2,531"
"";"Septiembre";"3,924";"204";"2,412"
"";"Octubre";"4,182";"144";"2,354"
"";"Noviembre";"4,103";"139";"2,509"
"";"Diciembre";"4,489";"380";"2,280"
"2012";"Enero";"3,609";"637";"2,220"
"";"Febrero";"3,732";"539";"2,060"
"";"Marzo";"3,893";"827";"2,347"
"";"Abril";"3,596";"817";"2,155"
"";"Mayo";"3,571";"494";"2,356"
"";"Junio";"4,043";"366";"2,353"
"";"Julio";"3,500";"294";"2,139"
"";"Agosto";"3,218";"254";"2,308"
"";"Septiembre";"3,573";"156";"1,963"
"";"Octubre";"4,811";"146";"2,411"
"";"Noviembre";"4,085";"132";"2,330"
"";"Diciembre";"4,629";"356";"2,142"
"2013";"Enero";"3,722";"728";"2,371"
"";"Febrero";"3,239";"503";"1,835"
"";"Marzo";"3,038";"711";"2,440"
"";"Abril";"3,792";"946";"2,035"
"";"Mayo";"3,820";"722";"2,479"
"";"Junio";"3,602";"464";"2,283"
"";"Julio";"3,641";"399";"2,389"
"";"Agosto";"3,761";"256";"2,404"
"";"Septiembre";"3,638";"183";"2,020"
"";"Octubre";"4,161";"190";"2,637"
"";"Noviembre";"3,573";"148";"2,347"
"";"Diciembre";"3,714";"398";"2,183"
"2014";"Enero";"2,508";"795";"2,195"
"";"Febrero";"3,823";"538";"1,839"
"";"Marzo";"3,866";"811";"2,619"
"";"Abril";"3,409";"886";"2,375"
"";"Mayo";"3,659";"604";"2,645"
"";"Junio";"3,326";"374";"2,427"
"";"Julio";"3,405";"344";"2,512"
"";"Agosto";"3,132";"230";"2,506"
"";"Septiembre";"3,219";"200";"2,363"
"";"Octubre";"3,250";"157";"2,669"
"";"Noviembre";"3,066";"148";"2,377"
"";"Diciembre";"3,775";"533";"2,536"
"2015";"Enero";"3,003";"788";"2,163"
"";"Febrero";"2,684";"563";"1,876"
"";"Marzo";"3,009";"731";"2,267"
"";"Abril";"2,939";"744";"2,082"
"";"Mayo";"2,689";"426";"1,874"
"";"Junio";"3,003";"394";"1,891"
"";"Julio";"2,347";"341";"2,257"
"";"Agosto";"2,411";"229";"2,021"
"";"Septiembre";"2,418";"212";"2,016"
"";"Octubre";"2,427";"170";"2,121"
"";"Noviembre";"2,667";"169";"1,995"
"";"Diciembre";"2,873";"443";"1,936"
"2016";"Enero";"2,188";"945";"1,958"
"";"Febrero";"2,526";"601";"1,677"
"";"Marzo";"2,518";"696";"1,970"
"";"Abril";"2,370";"723";"1,970"
"";"Mayo";"2,483";"569";"2,025"
"";"Junio";"2,366";"372";"1,924"
"";"Julio";"2,404";"316";"1,929"
"";"Agosto";"2,456";"289";"2,201"
"";"Septiembre";"2,715";"245";"1,942"
"";"Octubre";"2,686";"209";"1,865"
"";"Noviembre";"2,886";"233";"2,097"
"";"Diciembre";"3,272";"700";"2,270"
"2017";"Enero";"2,723";"750";"2,143"
"";"Febrero";"2,275";"546";"1,858"
