IMPORTACIONES CLASIFICADAS POR TIPO DE BIEN ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Millones de d¢lares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A¤o;Mes;Bienes de Consumo;;;;;;;;;;;;;;;;;;Bienes Intermedios (3);;;;;;;;;;;;;;;;;;;;Bienes de Capital;;;;;;;;;;;;;Total de importaci¢n de bienes (cif);Total de importaci¢n de bienes (fob)
;;;Durables (1);;;;;;Semidurables (2);;;Otros bienes de consumo;;;;;;;;;Productos Energ‚ticos;;;;;;;Resto Intermedios;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Autom¢viles;Computadores;Celulares;Televisores;Electr¢domesticos;;Vestuario;Calzado;;Carne;Otros alimentos;Bebidas y alcoholes;Gasolinas;Gas licuado;Medicamentos;Perfumes;;;Petr¢leo;Di‚sel;Carb¢n mineral;Gas natural licuado;Gas natural gaseoso;Aceite lubricante;;Productos qu¡micos;Abono;Productos met licos;Partes y piezas de maquinaria para la miner¡a y la construcci¢n;Partes y piezas de otras maquinarias y equipos;Aparatos de control el‚ctrico;Concentrado de molibdeno;Trigo y ma¡z;Az£car y endulzante;Cart¢n y papel elaborados, y otros;Fibra y tejido;;Camiones y veh¡culos de carga;Buses;Otros veh¡culos de transporte;Maquinaria para la miner¡a y la construcci¢n;Motores, generadores y transformadores el‚ctricos;Motores y turbinas;Bombas y compresores;Calderas de vapor;Otra maquinaria;Aparatos el‚ctronicos de comunicaci¢n;Equipos computacionales;Aparatos m‚dicos;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Enero;387;124;52;6;16;6;12;133;67;29;130;15;19;3;10;5;16;11;1.061;361;239;22;15;0;40;24;700;116;17;70;13;99;12;5;33;21;23;31;294;34;20;13;19;10;7;13;2;68;18;16;17;1.742;1.613
;Febrero;348;115;40;9;18;7;11;123;69;25;111;15;16;2;10;4;14;10;813;251;185;7;3;0;22;22;561;99;14;53;13;89;8;4;11;4;17;26;223;22;11;4;12;6;7;8;5;61;11;17;16;1.384;1.289
;Marzo;321;105;32;11;16;7;13;103;56;17;113;13;18;3;7;4;15;12;770;232;140;18;10;0;29;23;538;88;14;50;14;81;9;4;10;4;20;26;311;24;10;11;13;8;2;11;19;111;13;19;22;1.402;1.307
;Abril;366;150;57;9;24;8;19;91;44;14;125;16;21;4;7;6;16;12;957;330;248;15;10;0;25;21;627;108;27;65;11;92;9;7;9;4;16;27;367;28;12;20;22;6;13;10;24;125;11;19;22;1.690;1.575
;Mayo;389;164;57;12;26;12;19;97;43;13;128;13;21;4;12;6;17;12;922;279;155;17;17;0;48;20;643;102;22;66;16;98;10;4;9;5;18;35;324;28;9;31;27;8;15;12;11;89;10;19;18;1.635;1.510
;Junio;345;133;36;12;27;13;15;78;28;13;135;18;22;4;12;8;16;13;868;219;128;20;8;0;24;17;648;92;24;71;24;93;10;8;7;3;19;30;264;21;7;5;18;17;4;11;13;90;7;19;15;1.477;1.372
;Julio;427;155;47;14;28;12;16;123;55;24;149;16;27;3;15;12;18;13;1.001;293;188;18;8;0;34;19;708;105;38;72;21;111;9;9;11;5;21;33;245;30;8;6;13;10;5;10;5;65;7;21;19;1.673;1.554
;Agosto;399;137;50;10;13;11;14;125;57;29;137;18;26;3;7;7;14;15;953;272;168;35;9;0;24;20;681;98;49;65;15;105;9;7;27;5;18;27;287;54;6;24;12;14;4;10;4;66;8;20;15;1.639;1.521
;Septiembre;416;148;49;11;22;11;12;132;57;25;136;16;23;4;14;5;16;14;880;247;141;24;11;0;38;18;633;91;40;59;16;98;14;7;30;4;22;25;275;42;14;13;14;11;5;13;3;68;7;20;15;1.571;1.455
;Octubre;475;184;58;11;31;15;18;141;52;25;149;19;22;6;12;8;15;14;1.006;306;217;9;12;0;30;19;700;106;38;66;17;101;14;9;23;7;25;29;301;46;17;20;15;7;5;12;1;68;10;23;22;1.782;1.652
;Noviembre;424;168;48;11;37;12;13;115;41;17;140;21;26;5;9;4;14;12;902;236;152;9;10;0;30;22;666;95;23;69;18;108;14;7;25;9;23;26;292;39;12;34;15;8;4;11;1;70;9;17;20;1.618;1.503
;Diciembre;422;161;69;8;21;8;12;117;49;18;144;30;21;3;13;4;14;12;907;246;164;8;2;0;34;23;661;105;19;68;21;100;14;6;15;4;23;28;304;42;9;14;23;6;6;12;0;72;15;25;21;1.633;1.516
2004;Enero;407;129;58;7;17;8;9;136;67;30;143;21;20;2;19;6;15;14;1.109;363;260;26;10;0;30;20;746;123;21;71;16;114;10;12;25;5;26;32;293;34;28;5;28;6;4;15;0;69;12;18;19;1.810;1.676
;Febrero.;407;139;56;8;29;6;12;146;85;29;123;14;20;3;11;4;15;11;899;282;166;21;18;0;43;20;617;97;18;58;15;87;8;12;17;4;20;37;256;27;18;11;25;5;3;11;1;54;12;18;19;1.562;1.440
;Marzo.;449;183;71;11;34;13;19;111;57;23;156;19;26;3;12;6;19;16;1.221;400;257;37;22;0;45;21;821;131;32;90;15;115;9;12;21;6;27;32;346;41;16;31;32;10;4;12;0;71;14;24;21;2.016;1.859
;Abril;481;205;61;15;61;13;21;120;62;19;156;21;23;4;22;4;18;16;1.080;332;224;31;17;0;27;18;748;112;28;73;17;116;10;23;9;6;22;34;314;39;9;7;34;9;11;13;1;65;13;23;25;1.874;1.742
;Mayo;516;233;79;19;50;14;24;111;51;20;172;19;24;4;26;11;18;14;1.123;340;167;62;32;0;35;21;782;124;36;76;17;112;11;14;7;8;20;39;340;54;11;17;31;9;9;12;0;67;16;24;19;1.979;1.837
;Junio;452;202;65;18;42;18;14;99;40;18;151;20;23;3;9;13;20;15;1.082;297;169;33;29;0;22;21;785;128;37;81;19;113;11;18;2;10;25;36;312;40;9;5;24;11;8;11;1;75;20;29;17;1.846;1.714
;Julio;556;208;67;19;29;20;19;153;72;27;195;23;30;7;26;16;19;18;1.299;445;230;62;38;0;57;23;853;130;49;98;16;105;10;18;17;8;23;41;336;42;11;12;21;9;20;14;1;75;14;23;21;2.190;2.020
;Agosto;538;189;64;14;24;19;18;182;91;38;167;29;25;3;5;6;22;17;1.283;391;258;33;20;0;28;36;892;123;64;107;21;131;11;22;18;10;29;36;337;55;11;3;31;7;5;15;0;86;11;23;21;2.158;1.996
;Septiembre;575;207;70;16;27;19;19;195;89;41;174;27;25;3;16;11;18;17;1.318;381;241;24;14;0;44;24;937;136;60;118;17;127;12;25;21;11;29;29;378;42;32;6;35;10;6;15;0;85;18;27;26;2.271;2.101
;Octubre;548;223;74;14;35;17;20;162;69;23;163;22;25;5;7;10;18;17;1.448;552;363;61;23;0;51;24;896;139;41;91;18;123;12;34;29;10;31;32;429;72;15;2;52;6;20;16;0;90;24;24;24;2.425;2.245
;Noviembre;549;234;77;18;38;18;17;149;53;24;166;21;26;7;11;6;21;16;1.247;376;247;41;17;0;29;25;871;123;18;104;18;128;10;21;14;7;32;36;410;70;15;10;28;11;19;16;1;92;21;26;26;2.206;2.042
