Producto interno bruto por clase de actividad económica, trimestral, precios corrientes (1);;;;;;;;;;;;;;;;;;
(Miles de millones de pesos);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;2013;;;;2014;;;;2015;;;;2016;;;;2017
Especificación;;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I
;;;;;;;;;;;;;;;;;;
Agropecuario-silvícola;;1.597;860;555;1.020;1.793;866;599;1.272;2.144;1.059;713;1.315;2.344;1.044;702;1.292;2.159
Pesca;;109;137;159;226;279;377;344;302;247;282;265;222;229;336;358;270;418
Minería;;3.607;3.552;3.824;4.161;3.844;4.115;4.080;4.175;3.835;3.559;3.231;3.334;3.177;3.072;3.311;3.976;3.453
   Minería del cobre;;3.181;3.144;3.401;3.740;3.472;3.747;3.707;3.817;3.535;3.294;2.910;2.995;2.892;2.754;2.934;3.547;3.097
   Otras actividades mineras;;427;408;422;420;372;368;372;358;300;265;320;339;285;318;377;429;356
Industria manufacturera;;3.753;3.873;3.727;3.973;3.986;4.073;4.068;4.484;4.442;4.592;4.530;4.539;4.638;4.737;4.510;4.473;4.717
   Alimentos;;1.020;1.003;917;1.053;1.191;1.064;1.040;1.173;1.275;1.163;1.083;1.198;1.252;1.214;1.170;1.302;1.470
   Bebidas y tabaco;;487;541;507;503;490;548;533;600;608;717;692;674;672;719;685;683;712
    Textil, prendas de vestir, cuero y calzado   ;;95;100;83;99;86;92;84;100;77;83;70;88;71;81;74;93;76
   Madera y muebles;;179;199;205;209;227;254;269;291;287;286;287;295;278;276;258;278;255
   Celulosa, papel e imprentas;;280;294;311;329;360;349;358;394;410;394;441;471;457;416;459;438;427
   Refinación de petróleo;;279;283;301;291;351;348;385;380;449;488;515;397;512;471;466;332;445
   Química, caucho y plástico;;533;536;547;585;491;555;568;624;497;623;595;572;532;625;542;516;468
   Minerales no metálicos y metálica básica;;232;233;212;220;194;230;215;216;201;201;176;172;198;211;178;140;158
   Productos metálicos, maquinaria y equipos y otros;;647;685;642;684;596;632;617;706;639;637;672;671;668;725;679;691;706
Electricidad, gas, agua y gestión de desechos;;917;789;882;956;863;864;932;1.014;981;1.065;1.180;1.252;1.250;1.256;1.241;1.203;1.172
Construcción;;1.932;2.191;2.182;2.690;2.053;2.313;2.267;2.780;2.174;2.517;2.567;3.146;2.389;2.688;2.691;3.242;2.418
Comercio;;2.829;3.110;3.076;3.501;3.296;3.404;3.373;3.709;3.417;3.461;3.419;3.842;3.614;3.744;3.766;4.123;3.783
Restaurantes y hoteles;;593;620;635;704;672;680;709;772;739;763;805;888;829;826;858;954;896
Transporte;;1.607;1.591;1.571;1.732;1.700;1.636;1.684;1.947;2.002;1.904;1.953;2.231;2.217;2.130;2.110;2.311;2.180
Comunicaciones y servicios de información;;1.031;1.055;1.063;1.160;1.078;1.076;1.066;1.201;1.126;1.146;1.162;1.292;1.193;1.200;1.215;1.314;1.256
Servicios financieros;;1.735;1.705;1.715;1.743;1.763;1.721;1.683;1.782;1.856;1.851;1.865;1.949;1.988;1.987;2.038;2.148;2.119
Servicios empresariales;;3.419;3.698;3.666;3.944;3.673;3.947;3.800;4.119;3.989;4.265;4.081;4.422;4.210;4.429;4.222;4.475;4.207
Servicios de vivienda e inmobiliarios ;;2.391;2.409;2.451;2.554;2.562;2.603;2.672;2.872;2.897;2.907;2.985;3.169;3.197;3.204;3.196;3.351;3.362
Servicios personales (2);;3.350;3.834;3.816;4.022;3.672;4.155;4.197;4.367;4.012;4.508;4.488;4.760;4.353;4.959;5.107;5.263;4.841
Administración pública;;1.497;1.524;1.528;1.638;1.660;1.683;1.696;1.798;1.827;1.854;1.863;1.941;1.979;1.974;1.967;2.034;2.112
;;;;;;;;;;;;;;;;;;
Impuesto al valor agregado;;2.569;2.674;2.723;3.074;2.824;2.902;2.926;3.316;3.073;3.140;3.247;3.627;3.252;3.316;3.370;3.738;3.443
Derechos de importación;;167;151;164;166;189;159;170;200;188;151;169;213;144;119;166;207;220
;;;;;;;;;;;;;;;;;;
PIB a precios de mercado;;33.104;33.773;33.738;37.262;35.907;36.572;36.265;40.111;38.947;39.024;38.523;42.142;41.003;41.021;40.830;44.374;42.754
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
(1);Cifras preliminares.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
