TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;21.517;2.475;17.992;20.956;16.483;16.998;17.288
AEROLINEAS DEL SUR;186;143;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;419;68;1.073;31;30;78;9;322;79;8
LAN AIRLINES         ;1.106.645;1.146.449;1.299.395;1.272.762;1.168.515;1.262.795;1.492.706;1.867.278;1.791.421;1.833.893
LAN EXPRESS       ;64.806;67.375;67.882;72.520;68.714;67.553;72.236;7.213;0;174
SKY AIRLINE       ;6.307;6.599;6.918;10.636;10.605;30.433;96.564;143.744;181.372;218.713
CHILENAS          ;1.178.363;1.220.634;1.375.268;1.377.466;1.250.339;1.378.851;1.682.471;2.035.040;1.989.870;2.070.076
AEROL. ARGENTINAS ;124.065;97.191;104.889;78.808;71.862;96.034;104.606;41.034;59.105;40.906
AUSTRAL           ;0;1.884;193;1.212;0;0;0;59.763;78.873;89.124
LAN ARGENTINA     ;0;8.594;20.893;15.331;57.969;82.688;37.215;72.518;49.217;21.872
LINEA A.DEL ESTADO;0;126;0;0;0;0;0;0;0;0
LAN PERU          ;28.801;14.920;57.249;79.101;89.780;77.777;105.772;113.852;109.439;139.023
TACA-PERU         ;0;33.790;10.011;44.476;43.264;52.600;73.536;66.780;789;49
LLOYD A. BOLIVIANO;16.811;9.567;2.228;0;0;0;0;0;0;0
GOL TRANS         ;0;25.651;143.150;74.262;51.637;44.823;62.314;56.214;433;49.709
T.A.M. LINEAS AEREAS;36.077;56.483;78.251;74.840;119.123;151.184;138.417;175.175;281.537;235.889
VARIG             ;112.801;47.534;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;1.766;38.812;10.969;0;0;0;0;0
T.A.M.            ;21.852;29.389;22.727;21.589;15.652;15.961;17.002;20.679;20.004;22.548
BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;529;7.130
PLUNA             ;19.321;22.018;22.733;20.495;40.508;51.458;72.476;42.376;0;0
LAN ECUADOR       ;0;21.161;57.675;75.874;85.530;90.173;74.189;48.875;52.532;50.570
AVIANCA           ;19.642;22.722;29.689;38.004;36.349;41.626;47.860;71.974;80.011;78.885
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;11.906;48.207
L.A.C.S.A.        ;39.603;4.205;37.857;2.015;1.359;1.767;3.334;1.774;63.449;74.578
C.O.P.A.          ;43.270;61.766;69.343;73.686;74.002;83.311;119.260;153.851;198.032;208.396
AEROMEXICO        ;15.671;19.298;21.215;15.222;15.615;15.754;23.807;28.908;15.890;28.303
LATINOAMERICANAS  ;477.914;476.299;679.869;653.727;713.619;805.156;879.788;953.773;1.021.746;1.095.189
AIR CANADA        ;35.995;37.431;40.166;57.980;45.631;56.593;64.858;74.978;66.565;59.549
AMERICAN AIRLINES ;101.723;112.484;118.442;118.212;116.005;123.764;132.532;146.531;149.551;156.959
DELTA AIRLINES    ;49.806;61.421;60.303;54.179;48.728;50.671;57.240;60.057;63.594;66.874
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;4.608
NORTEAMERICANAS   ;187.524;211.336;218.911;230.371;210.364;231.028;254.630;281.566;279.710;287.990
LUFTHANSA         ;63.683;20.427;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;22.838;16.189;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;10.088
AIR MADRID        ;13.896;33.899;0;0;0;0;0;0;0;0
IBERIA            ;69.393;89.496;96.037;100.514;98.876;92.598;94.980;101.982;111.149;105.354
AIR FRANCE        ;56.504;69.050;61.782;68.867;68.475;67.395;88.627;106.582;112.740;105.542
SWISSAIR          ;0;26.880;45.402;63.635;15.519;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;32.025
EUROPEAS          ;203.476;239.752;226.059;249.205;182.870;159.993;183.607;208.564;223.889;253.009
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;32.384;48.777;53.716
PACIFICO SUR      ;0;0;0;0;0;0;0;32.384;48.777;53.716
TOTAL GENERAL;2.047.277;2.148.021;2.500.107;2.510.769;2.357.192;2.575.028;3.000.496;3.511.327;3.563.992;3.759.980
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS SALIDOS DESDE CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;21.770;2.466;17.222;22.606;18.002;17.174;18.408
AEROLINEAS DEL SUR;187;164;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;441;102;1.123;50;9;80;2;343;80;89
LAN AIRLINES         ;1.091.498;1.139.156;1.282.926;1.247.826;1.157.930;1.262.101;1.488.454;1.867.137;1.790.266;1.843.328
LAN EXPRESS       ;52.899;61.594;57.697;67.031;65.263;62.701;72.004;7.697;0;0
SKY AIRLINE       ;7.246;6.607;6.230;10.655;18.995;33.040;119.537;132.186;166.552;205.936
CHILENAS          ;1.152.271;1.207.623;1.347.976;1.347.332;1.244.663;1.375.144;1.702.603;2.025.365;1.974.072;2.067.761
AEROL. ARGENTINAS ;123.150;93.159;98.646;73.221;67.831;95.455;98.536;39.976;56.307;39.686
AUSTRAL           ;0;1.623;63;1.288;0;0;0;57.289;76.642;88.220
LAN ARGENTINA     ;0;471;21.159;17.761;62.179;87.036;36.014;71.719;47.622;18.722
LAN PERU          ;29.491;11.188;59.541;84.284;87.726;74.470;114.681;103.746;106.874;143.639
TACA-PERU         ;0;32.398;9.500;43.558;41.521;51.143;67.832;63.507;786;0
AMASZONAS S.A.    ;0;0;0;0;0;0;0;0;0;1.403
