TRAFICO NACIONAL;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS TRANSPORTADOS;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;777;59.723;192.279;293.101;272.164;253.039;46.723
AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;21.230;20.060;0
AEROLINEAS DEL SUR;138.940;256.390;402.317;373.877;0;0;0;0;0;0
AEROVIAS D.A.P.   ;24.530;26.671;27.316;28.057;27.473;30.659;31.767;36.517;58.290;78.197
LAN AIRLINES         ;350.530;360.583;280.718;306.159;1.205.546;1.771.249;2.135.835;2.398.850;2.756.054;2.684.452
LAN EXPRESS       ;2.107.716;2.139.665;2.718.637;3.256.564;2.842.557;2.857.961;3.233.724;3.946.372;4.258.854;4.617.795
ONE SPA           ;0;0;0;0;0;0;0;0;0;14.446
PLUNA             ;0;0;0;0;1.073;1.380;0;8.712;0;0
SKY AIRLINE       ;575.786;595.783;667.501;805.293;921.734;1.121.202;1.330.561;1.650.996;2.111.345;2.321.433
XTRA AIRWAYS      ;0;0;0;0;0;0;0;0;15.560;50.544
TOTAL GENERAL;3.197.502;3.379.092;4.096.489;4.770.727;5.058.106;5.974.730;7.024.988;8.334.841;9.473.202;9.813.590
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TRANSPORTADAS;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;283;2.081;3.268;1.655;326;261
AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;481;149;0
AEROLINEAS DEL SUR;0;956;1.894;1.587;0;0;0;0;0;0
LAN CARGO            ;0;470;89;81;27;0;0;2;13;162
LAN AIRLINES         ;13.084;13.317;11.477;7.056;10.079;13.061;13.572;11.475;11.179;10.563
LAN EXPRESS       ;14.098;13.511;14.096;14.237;11.928;12.983;14.133;15.018;15.315;13.278
PLUNA             ;0;0;0;0;8;0;0;0;0;0
SKY AIRLINE       ;2.548;2.386;2.095;4.962;4.970;1.078;5;268;1.083;2.476
WEST AIR SWEDEN   ;0;0;0;0;0;0;0;1.298;392;0
TOTAL GENERAL;29.730;30.640;29.651;27.923;27.295;29.203;30.978;30.197;28.457;26.740
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TRANSPORTADOS;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;930;68.223;216.050;315.888;311.184;310.531;61.853
AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;26.961;25.182;0
AEROLINEAS DEL SUR;202.388;314.293;462.463;388.320;0;0;0;0;0;0
AEROVIAS D.A.P.   ;6.937;6.939;6.538;6.244;8.535;8.457;10.278;17.233;33.481;55.793
LAN AIRLINES         ;586.610;637.411;537.734;637.899;1.797.093;2.487.575;2.994.832;3.300.019;3.802.100;3.636.828
LAN EXPRESS       ;1.974.361;2.017.688;2.711.566;3.248.941;2.736.803;2.623.396;2.861.945;3.609.342;3.944.282;4.480.562
ONE SPA           ;0;0;0;0;0;0;0;0;0;17.129
PLUNA             ;0;0;0;0;2.339;3.008;0;3.737;0;0
SKY AIRLINE       ;610.271;607.294;655.626;778.816;924.452;1.086.876;1.247.999;1.538.447;1.981.089;2.153.409
XTRA AIRWAYS      ;0;0;0;0;0;0;0;0;19.934;65.317
TOTAL GENERAL;3.380.567;3.583.625;4.373.927;5.061.150;5.537.445;6.425.362;7.430.942;8.806.923;10.116.599;10.470.891
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TRANSPORTADAS;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;328;2.564;3.891;1.967;394;313
AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;558;165;0
AEROLINEAS DEL SUR;0;1.576;2.733;2.355;0;0;0;0;0;0
LAN CARGO            ;0;650;127;102;38;0;0;2;19;231
LAN AIRLINES         ;24.357;25.219;22.314;19.999;25.360;28.848;28.753;25.134;25.864;26.331
LAN EXPRESS       ;18.750;17.356;18.520;18.543;15.651;16.813;16.560;17.913;18.059;17.470
PLUNA             ;0;0;0;0;17;0;0;0;0;0
SKY AIRLINE       ;3.584;3.269;2.955;6.692;6.342;1.381;12;443;1.628;3.534
WEST AIR SWEDEN   ;0;0;0;0;0;0;0;1.856;480;0
TOTAL GENERAL;46.691;48.070;46.649;47.691;47.736;49.606;49.216;47.873;46.609;47.879
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
