TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;A SANTIAGO;DE BUENOS AIRES    ;0;0;0;0;0;0;237;0;0;0
 ; ;DE CORDOBA         ;0;0;0;0;0;876;0;0;0;0
 ; ;DE MENDOZA         ;0;0;0;0;0;0;2.108;0;98;0
 ; ;DE SAN JUAN, ARG.  ;0;0;0;0;0;0;936;0;0;0
 ; ;DE USHUAIA, ARG.   ;0;0;0;473;0;0;0;0;0;0
 ; ;DE LIMA            ;0;0;0;0;0;66;0;0;0;0
 ; ;DE CURITIBA        ;0;0;0;182;0;0;0;0;0;535
 ; ;DE FLORIANAPOLIS   ;0;0;0;10.129;1.647;7.361;4.798;2.452;3.783;2.313
 ; ;DE IGUASSU, BRASIL ;0;0;0;1.331;460;748;580;724;581;641
 ; ;DE MACEIO, BRASIL  ;0;0;0;506;0;1.000;0;0;0;0
 ; ;DE PORTO ALEGRE    ;0;0;0;0;0;0;0;0;0;140
 ; ;DE RIO DE JANEIRO  ;0;0;0;1.919;0;0;0;140;139;191
 ; ;DE SALVADOR BAHIA  ;0;0;0;2.053;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;0;0;0;0;0;0;0;825
 ; ;DE ASUNCION        ;0;0;0;0;368;0;47;379;251;0
 ; ;DE MONTEVIDEO      ;0;0;0;0;0;0;265;0;0;140
 ; ;DE PTA. DEL ESTE   ;0;0;0;0;0;622;0;0;0;0
 ; ;DE GUAYAQUIL       ;0;0;0;4.796;0;0;0;0;0;0
 ; ;DE MANTA           ;0;0;0;128;0;0;0;0;0;0
 ; ;DE VARADERO        ;0;0;0;0;0;1.200;1.503;2.605;1.903;2.169
 ; ;DE PUNTA CANA, R.D.;0;0;0;0;0;2.220;3.016;5.193;5.359;5.229
 ; ;DE SANTO DOMINGO   ;0;0;0;0;0;799;2.519;0;0;0
 ; ;DE CANCUN, MEX.    ;0;0;0;0;0;2.598;4.947;4.990;4.884;5.105
 ; ;DE JOHANNESBURG    ;0;0;0;0;0;487;0;0;0;0
 ;A ANTOFAGASTA;DE FLORIANAPOLIS   ;0;0;0;0;0;15;0;0;0;0
TOTAL;INTERNACIONAL DE;PAL AIRLINES;0;0;0;21.517;2.475;17.992;20.956;16.483;16.998;17.288
AEROLINEAS DEL SUR;A SANTIAGO;DE BUENOS AIRES    ;186;0;0;0;0;0;0;0;0;0
 ; ;DE USHUAIA, ARG.   ;0;143;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;AEROLINEAS DEL SUR;186;143;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;A SANTIAGO;DE ASUNCION        ;0;0;0;0;0;0;0;0;49;0
 ;A PUNTA ARENAS;DE COM. RIVADAVIA  ;0;0;0;0;0;0;0;24;0;0
 ; ;DE EL CALAFATE     ;0;0;0;0;0;29;0;215;27;2
 ; ;DE RIO GALLEGOS ARG;193;0;1.010;6;4;0;0;2;0;0
 ; ;DE RIO GRANDE, ARG.;7;6;4;2;0;7;0;3;3;0
 ; ;DE USHUAIA, ARG.   ;219;62;59;21;26;40;9;78;0;6
 ; ;DE PTO.STANLEY     ;0;0;0;2;0;2;0;0;0;0
TOTAL;INTERNACIONAL DE;AEROVIAS D.A.P.   ;419;68;1.073;31;30;78;9;322;79;8
LAN AIRLINES         ;A SANTIAGO;DE BARILOCHE       ;9.442;8.122;7.778;1.726;0;0;0;0;155;0
 ; ;DE BUENOS AIRES    ;344.792;325.671;336.835;279.224;191.101;220.545;324.721;314.269;306.727;348.046
 ; ;DE CORDOBA         ;45.080;46.355;50.921;56.581;60.743;51.672;68.395;85.054;89.258;81.273
 ; ;DE EL CALAFATE     ;0;0;0;0;0;0;0;108;0;0
 ; ;DE IGUAZU, ARG.    ;0;0;0;0;0;0;88;0;0;0
 ; ;DE MENDOZA         ;55.952;55.386;68.192;70.679;87.955;108.619;123.724;137.661;133.576;127.537
 ; ;DE PUERTO MADRYN   ;0;0;90;0;0;0;0;0;0;0
 ; ;DE RIO GALLEGOS ARG;2;5;3;8;4;4;13;2;1;3
 ; ;DE ROSARIO, ARG.   ;11.563;9.996;10.010;8.614;0;0;0;0;0;0
 ; ;DE SALTA, ARG.     ;159;142;36;65;66;60;73;68;145;249
 ; ;DE USHUAIA, ARG.   ;3.747;3.962;5.408;5.089;3.246;1.963;825;354;255;0
 ; ;DE CUZCO, PERU     ;0;0;0;0;0;0;0;108;0;0
 ; ;DE LIMA            ;90.496;111.889;135.898;156.417;169.510;191.915;193.032;291.614;300.902;287.620
 ; ;DE LA PAZ          ;10.615;16.532;15.895;16.092;13.889;9.400;9.035;12.875;16.034;17.885
 ; ;DE SANTA CRUZ, BOL.;0;3.251;5.103;7.206;8.040;6.481;7.343;10.551;11.395;12.991
 ; ;DE BELO HORIZONTE  ;0;0;0;0;0;159;0;0;0;0
 ; ;DE BRASILIA        ;203;0;0;0;0;0;0;0;0;0
 ; ;DE CABO FRIO, BRASI;0;0;0;0;0;0;0;186;0;0
 ; ;DE FLORIANAPOLIS   ;0;105;4.305;3.724;1.922;1.210;1.873;4.342;2.898;5.595
 ; ;DE PORTO ALEGRE    ;127;0;100;0;0;0;0;0;0;0
 ; ;DE RIO DE JANEIRO  ;16.313;29.238;58.915;40.014;21.561;23.379;41.586;99.705;76.834;106.452
 ; ;DE SALVADOR BAHIA  ;5.259;1.812;1.671;0;0;0;0;0;0;1.171
