TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;A SANTIAGO;DE ARICA           ;0;0;0;0;0;3.287;17.057;4.372;0;0
 ; ;DE IQUIQUE         ;0;0;0;0;10.796;22.110;33.468;35.931;18.414;2.393
 ; ;DE ANTOFAGASTA     ;0;0;0;0;15.746;37.637;35.583;31.236;24.403;609
 ; ;DE CALAMA          ;0;0;0;0;1.062;21.780;23.422;40.115;61.745;10.256
 ; ;DE COPIAPO         ;0;0;0;0;0;2.510;11.951;16.206;5.610;128
 ; ;DE LA SERENA       ;0;0;0;0;0;0;49;0;0;235
 ; ;DE CONCEPCION      ;0;0;0;0;73;0;186;0;156;49
 ; ;DE TEMUCO          ;0;0;0;146;0;111;0;0;0;0
 ; ;DE OSORNO          ;0;0;0;0;0;0;145;0;0;0
 ; ;DE PUERTO MONTT    ;0;0;0;0;105;0;0;0;0;0
 ; ;DE VALDIVIA        ;0;0;0;0;72;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;0;0;0;52;0;0;0;0;0;0
 ;A ARICA;DE IQUIQUE         ;0;0;0;0;0;1.089;5.582;677;0;0
 ; ;DE ANTOFAGASTA     ;0;0;0;0;0;1.166;3.925;923;0;0
 ; ;DE CALAMA          ;0;0;0;0;0;0;109;8;0;0
 ; ;DE COPIAPO         ;0;0;0;0;0;0;35;33;0;0
 ;A IQUIQUE;DE CALAMA          ;0;0;0;0;183;1.097;1.533;1.360;396;0
 ; ;DE COPIAPO         ;0;0;0;0;0;75;875;36;6;0
 ;A ANTOFAGASTA;DE IQUIQUE         ;0;0;0;0;2.699;5.942;9.305;2.435;428;0
 ; ;DE CALAMA          ;0;0;0;0;74;714;2.413;58;9;0
 ; ;DE COPIAPO         ;0;0;0;0;0;24;1.835;2.822;1.200;0
 ; ;DE LA SERENA       ;0;0;0;0;0;0;48;0;0;0
 ; ;DE CONCEPCION      ;0;0;0;0;0;0;0;0;16.206;9.502
 ;A CALAMA;DE COPIAPO         ;0;0;0;0;0;761;1.291;13;0;0
 ;A COPIAPO;DE CONCEPCION      ;0;0;0;0;0;0;0;0;120;0
 ;A CONCEPCION;DE CALAMA          ;0;0;0;0;0;0;0;0;473;411
TOTAL;NACIONAL DE;PAL AIRLINES;0;0;0;198;30.810;98.303;148.812;136.225;129.166;23.583
