"OPERADORES";"ENE";"FEB";"MAR";"ABR";"MAY";"JUN";"JUL";"AGO";"SEP";"OCT";"NOV";"DIC"
"AEROVIAS D.A.P.";"10,217";"9,609";"6,644";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"AMASZONAS S.A.";"0";"0";"723";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CHILEJET S.A.";"267";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"LATAM AIRLINES GROUP";"289,138";"290,301";"234,696";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"LATAM AIRLINES CHILE";"479,416";"444,983";"410,296";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"LATIN AMERICAN WINGS";"1,040";"1,586";"4,301";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ONE SPA";"323";"0";"990";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"SKY AIRLINE";"285,972";"259,575";"253,813";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";""
