5.2.2.- Tonelaje movilizado en contenedores vacíos por tipo de tráfico en empresa portuaria, Año 2016;;;;;;;;;;;;;;;;;;;;;;
(Cantidad en toneladas métricas);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
EMPRESA PORTUARIA;TAMAÑO (PIES);EXPORTACIÓN;IMPORTACIÓN;CABOTAJE;TRÁNSITO Y OTROS;TOTAL;;;;;;;;;;;;;;;;
Arica;20; 27.443 ; 2.120 ; -   ; 679 ;30.242;;;;;;;;;;;;;;;;
;40; 115.578 ; 1.370 ; 4 ; 205 ;117.157;;;;;;;;;;;;;;;;
Iquique Terminal Internacional;20; 7.283 ; 5.700 ; -   ; -   ;12.983;;;;;;;;;;;;;;;;
;40; 207.692 ; 1.787 ; -   ; -   ;209.479;;;;;;;;;;;;;;;;
Complejo Portuario Mejillones;20; 1.489 ; 77.585 ; -   ; 397 ;79.471;;;;;;;;;;;;;;;;
;40; 16.256 ; 38.546 ; -   ; 4.227 ;59.029;;;;;;;;;;;;;;;;
Antofagasta;20; 647 ; 10.734 ; -   ; -   ;11.381;;;;;;;;;;;;;;;;
;40; 5.091 ; 23.036 ; -   ; -   ;28.127;;;;;;;;;;;;;;;;
Terminal Puerto Coquimbo;20; -   ; -   ; -   ; -   ;0;;;;;;;;;;;;;;;;
;40; 28 ; -   ; -   ; 1.521 ;1.549;;;;;;;;;;;;;;;;
Terminal Cerros de Valparaíso S.A.;20; 147 ; 86 ; 2.752 ; 55 ;3.040;;;;;;;;;;;;;;;;
;40; 2.224 ; 12.833 ; 2.800 ; 1.180 ;19.037;;;;;;;;;;;;;;;;
Valparaíso Terminal Pacífico Sur;20; 10 ; 2 ; -   ; -   ;12;;;;;;;;;;;;;;;;
;40; 25 ; 277 ; -   ; 14 ;316;;;;;;;;;;;;;;;;
San Antonio Terminal Internacional;20; 66.617 ; 7.915 ; 45.976 ; 9.482 ;129.990;;;;;;;;;;;;;;;;
;40; 195.450 ; 165.961 ; 255.376 ; 20.615 ;637.402;;;;;;;;;;;;;;;;
Puerto Central S.A.;20; 16.211 ; 1.213 ; -   ; 14 ;17.438;;;;;;;;;;;;;;;;
;40; 40.064 ; 29.352 ; -   ; 1.077 ;70.493;;;;;;;;;;;;;;;;
Lirquén;20; 2.151 ; 17.032 ; 3.471 ; -   ;22.654;;;;;;;;;;;;;;;;
;40; 5.696 ; 208.836 ; 8.591 ; -   ;223.123;;;;;;;;;;;;;;;;
Talcahuano Terminal Internacional;20; -   ; -   ; -   ; -   ;0;;;;;;;;;;;;;;;;
;40; -   ; -   ; -   ; -   ;0;;;;;;;;;;;;;;;;
San Vicente Terminal Internacional;20; 1.022 ; 20 ; -   ; 24.746 ;25.788;;;;;;;;;;;;;;;;
;40; -   ; -   ; -   ; 419.663 ;419.663;;;;;;;;;;;;;;;;
Coronel;20; 2.788 ; 27.065 ; -   ; -   ;29.853;;;;;;;;;;;;;;;;
;40; 4.817 ; 354.936 ; -   ; -   ;359.753;;;;;;;;;;;;;;;;
Chacabuco;20;;; 1.355 ; -   ;1.355;;;;;;;;;;;;;;;;
;40;;; 2.882 ; -   ;2.882;;;;;;;;;;;;;;;;
Austral;20; 9 ;; 66 ; 14.363 ;14.438;;;;;;;;;;;;;;;;
;40; 80 ;; 69 ; 21.732 ;21.881;;;;;;;;;;;;;;;;
SUBTOTAL;20;125.817;149.472;53.620;49.736;378.645;;;;;;;;;;;;;;;;
;40;593.001;836.934;269.722;470.234;2.169.891;;;;;;;;;;;;;;;;
TOTAL;;718.818;986.406;323.341;519.970;2.548.536;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Fuente: Empresas Portuarias;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
