;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;"ÍNDICE NOMINAL DE COSTO DE LA MANO DE OBRA (ICMO)BASE ANUAL 2009 = 100HOJA DE CIFRAS POR ACTIVIDAD ECONÓMICA, CATEGORÍA CIIU.Rev.3";;;;;;;;;;
;;;;;;;;;;;;;;
;;;;MAYO DE 2017;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ICMO POR CATEGORÍA;;;;;;;;;;;;;;
CATEGORÍA CIIU.Rev.3;;;;;Ponderación;Índice Mensual;Variación Mensual;Variación Acumulada;Variación en 12 Meses;Incidencia Mensual;Incidencia Acumulada;;Incidencia a 12 Meses;
C;;Explotación de Minas y Canteras;;;3,87271;155,87;-1,5;2,0;3,5;-0,056;0,076;;0,133;
D;;Industrias Manufactureras;;;16,84443;161,29;0,7;1,2;5,9;0,113;0,198;;0,998;
E;;Suministro de Electricidad, Gas y Agua;;;1,45898;164,18;2,4;3,6;7,3;0,035;0,052;;0,107;
F;;Construcción;;;11,19232;163,43;0,8;0,8;5,3;0,094;0,089;;0,611;
G;;Comercio al por Mayor y al por Menor;;;16,65760;154,86;-0,1;0,2;3,2;-0,020;0,039;;0,533;
H;;Hoteles y Restaurantes;;;2,28584;163,85;-1,2;0,1;6,4;-0,029;0,003;;0,149;
I;;Transporte, Almacenamiento y Comunicaciones;;;7,36223;166,50;0,2;1,2;4,3;0,013;0,095;;0,332;
J;;Intermediación Financiera;;;6,94345;157,67;0,1;0,7;6,3;0,006;0,048;;0,427;
K;;Actividades Inmobiliarias, Empresariales y de Alquiler;;;16,37851;159,40;0,5;1,3;4,4;0,074;0,211;;0,721;
L;;Administración Pública;;;5,50758;177,08;1,0;3,9;11,2;0,061;0,233;;0,647;
M;;Enseñanza;;;6,27019;144,04;-0,6;-0,9;2,8;-0,036;-0,051;;0,163;
N;;Servicios Sociales y de Salud;;;3,62683;157,55;0,5;2,0;5,4;0,018;0,072;;0,193;
O;;Otras Actividades de Servicios Comunitarios, Sociales y Personales;;;1,59933;148,36;0,2;2,4;5,4;0,003;0,035;;0,080;
;;;;;;;;;;;;;;
Nota 1:;;CIIU.Rev.3, Clasificación Internacional Uniforme de Actividades Económicas;;;;;;;;;;;;
