;;;;;;;;;;;;;;
;;;;ÍNDICE NOMINAL DE REMUNERACIONES (IR)                                                                                                                                                                                       BASE ANUAL 2009 = 100                                                                                                                                                                                                                                  HOJA DE CIFRAS POR ACTIVIDAD ECONÓMICA, CATEGORÍA CIIU.Rev.3;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;MARZO DE 2017;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
IR POR CATEGORÍA;;;;;;;;;;;;;;
CATEGORÍA CIIU.Rev.3;;;;;Ponderación;Índice Mensual;Variación Mensual;Variación Acumulada;Variación en 12 Meses;Incidencia Mensual;Incidencia Acumulada;;Incidencia a 12 Meses;
C;;Explotación de Minas y Canteras;;;3,57375;155,17;2,2;3,4;3,8;0,078;0,121;;0,139;
D;;Industrias Manufactureras;;;16,50973;153,89;1,1;1,8;3,9;0,177;0,299;;0,655;
E;;Suministro de Electricidad, Gas y Agua;;;1,38200;152,73;0,4;2,3;4,6;0,005;0,031;;0,064;
F;;Construcción;;;10,88111;155,55;0,3;-0,4;3,5;0,032;-0,042;;0,391;
G;;Comercio al por Mayor y al por Menor;;;16,90506;149,24;0,8;1,8;3,1;0,125;0,304;;0,513;
H;;Hoteles y Restaurantes;;;2,31650;157,62;1,1;1,4;5,9;0,026;0,034;;0,139;
I;;Transporte, Almacenamiento y Comunicaciones;;;7,17290;154,82;0,5;2,4;4,1;0,040;0,171;;0,301;
J;;Intermediación Financiera;;;7,06254;154,67;-0,2;0,1;6,5;-0,012;0,009;;0,456;
K;;Actividades Inmobiliarias, Empresariales y de Alquiler;;;16,59242;150,83;0,8;1,0;3,7;0,136;0,164;;0,610;
L;;Administración Pública;;;5,66140;164,37;1,6;5,7;9,7;0,097;0,335;;0,566;
M;;Enseñanza;;;6,65604;140,34;1,7;0,7;3,8;0,105;0,040;;0,235;
N;;Servicios Sociales y de Salud;;;3,64955;146,98;0,5;1,5;3,6;0,019;0,053;;0,128;
O;;Otras Actividades de Servicios Comunitarios, Sociales y Personales;;;1,63700;142,80;0,1;1,6;4,1;0,001;0,024;;0,064;
;;;;;;;;;;;;;;
Nota 1:;;CIIU.Rev.3, Clasificación Internacional Uniforme de Actividades Económicas;;;;;;;;;;;;
