;;;;;;;;;;;;;;
;;;;"ÍNDICE NOMINAL DE REMUNERACIONES (IR)BASE ANUAL 2009 = 100HOJA DE CIFRAS POR GRUPO OCUPACIONAL, GRUPO Y SUBGRUPO CIUO 88";;;;;;;;;;
;;;;;;;;;;;;;;
;;;;MAYO DE 2017;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
IR POR GRUPO OCUPACIONAL;;;;;;;;;;;;;;
GRUPO Y SUBGRUPO CIUO 88;;;;;Ponderación;Índice Mensual;Variación Mensual;Variación Acumulada;Variación en 12 Meses;Incidencia Mensual;Incidencia Acumulada;Incidencia a 12 Meses;;
1;;Directivos y Gerentes;;;14,68358;145,87;0,1;1,5;3,9;0,015;0,214;0,550;;
2;;Profesionales;;;27,09713;147,11;0,6;1,4;4,3;0,160;0,374;1,116;;
3;;Técnicos;;;14,03745;150,47;-0,6;1,3;4,4;-0,081;0,182;0,616;;
4;;Trabajadores de Apoyo Administrativo;;;13,08497;155,04;-0,2;2,2;5,7;-0,032;0,297;0,756;;
5,1;;Trabajadores de Servicios Personales, Protección y Seguridad;;;2,70351;152,74;0,2;2,4;6,3;0,005;0,066;0,167;;
5,2;;Vendedores, Promotores y Modelos;;;3,87800;150,97;-0,3;1,9;1,1;-0,013;0,072;0,042;;
7;;Operarios Manuales y Artesanos;;;9,85819;162,65;1,4;0,6;4,6;0,145;0,065;0,486;;
8;;Operadores y Montadores de Instalaciones y Máquinas;;;5,62001;155,59;-0,7;1,1;3,4;-0,038;0,066;0,197;;
9;;Trabajadores no Especializados;;;9,03716;162,22;0,0;1,1;4,9;0,002;0,102;0,466;;
;;;;;;;;;;;;;;
Nota 1:;;CIUO 88, Clasificación Internacional Uniforme de Ocupaciones;;;;;;;;;;;;
