data:text/csv;charset=UTF-8,"periodo","EmbarcadaalExterior1","DesembarcadadelExterior1","Cabotaje","Reestibasytransbordos","anno"
"Enero","555210","2058135","452251","87712","2014"
"Febrero","1101073","2737768","374084","179478","2014"
"Marzo","1382932","2506051","433148","171371","2014"
"Abril","1216208","2611648","411728","186458","2014"
"Mayo","1027677","2412688","514139","244920","2014"
"Junio","1034558","2567296","409480","78011","2014"
"Julio","928909","2621354","402964","241312","2014"
"Agosto","945666","2742745","369045","108587","2014"
"Septiembre","929268","2367467","420317","162364","2014"
"Octubre","907462","2513318","521918","241508","2014"
"Noviembre","914810","2603908","413120","251506","2014"
"Diciembre","908767","2179116","416908","120073","2014"
"Enero","926422","2833549","391093","371742","2015"
"Febrero","996590","2262289","320112","249022","2015"
"Marzo","1304145","2830855","428564","171930","2015"
"Abril","1073159","2485744","320562","132168","2015"
"Mayo","876732","2390284","685118","142785","2015"
"Junio","989415","2509824","404019","150836","2015"
"Julio","865986","2501385","320719","16942","2015"
"Agosto","821936","2750676","401147","45143","2015"
"Septiembre","904390","2.610.276","327440","179221","2015"
"Octubre","882142","2532344","379534","196170","2015"
"Noviembre","895432","2550620","390846","345947","2015"
"Diciembre","947648","2366226","391454","199457","2015"
"Enero","826456","2589549","484450","147867","2016"
"Febrero","1022649","2401066","417828","193130","2016"
"Marzo","1302948","2488519","442123","195662","2016"
"Abril","1078788","2553094","414783","109418","2016"
"Mayo","1132840","2582217","379458","27536","2016"
"Junio","896025","2392537","311758","35530","2016"
"Julio","963607","2987037","460642","29053","2016"
"Agosto","934093","2853147","455700","25433","2016"
"Septiembre","739281","2549307","486094","46041","2016"
"Octubre","917609","2802269","342530","105237","2016"
"Noviembre","813482","2484390","405062","32561","2016"
"Diciembre","960670","2690701","362801","57523","2016"
"Enero","837279","2706486","457745","25502","2017"
"Febrero","1060431","2751306","839777","226402","2017"
"Marzo","1286129","3017205","399987","110567","2017"
"Abril","1064811","2831948","484346","142122","2017"
