"lugar";"EXPORTACIÓN";"IMPORTACIÓN";"CABOTAJE";"TRÁNSITO Y OTROS";"EXPORTACIÓN";"IMPORTACIÓN";"CABOTAJE";"TRÁNSITO Y OTROS";"anno"
"Arica";"136799";"19415";"";"992333";"29883";"51298";"5588";"827029";"2016"
"Iquique";"220944";"156333";"";"45365";"218818";"817708";"7902";"105852";"2016"
"Mejillones";"333058";"266984";"";"19716";"169396";"210773";"";"31023";"2016"
"Antofagasta";"645239";"204606";"";"642";"226705";"68202";"";"227";"2016"
"Coquimbo";"";"6";"";"";"8645";"";"";"812";"2016"
"Terminal Cerros de Valparaíso S.A.";"3324";"4131";"3908";"2065";"55122";"10252";"3485";"1138";"2016"
"Terminal Pacífico Sur";"961424";"1390147";"584";"23456";"2315176";"1704451";"1967";"36939";"2016"
"San Antonio";"1419104";"2275659";"87063";"177706";"2746968";"3762222";"160260";"390799";"2016"
"Puerto Central S.A.";"56529";"36074";"";"992";"197488";"217055";"";"13560";"2016"
"Lirquén";"234048";"61396";"14036";"4886";"1715930";"78679";"21631";"";"2016"
"Talcahuano";"";"";"331";"";"";"";"";"";"2016"
"San Vicente";"315853";"215370";"1114";"54142";"2948191";"193804";"5295";"107667";"2016"
"Coronel";"499049";"235569";"";"";"2679146";"275449";"";"";"2016"
"Chacabuco";"13925";"961";"3144";"";"13542";"866";"7308";"";"2016"
"Punta Arenas";"3288";"38121";"36819";"1107";"45002";"27568";"73871";"1013";"2016"
